,species_id,species,species_found,comment
0,399943,Sufflavibacter maritimus,Sufflavibacter maritimus,Exact match
1,33038,Ruminococcus gnavus,Ruminococcus gnavus,Exact match
2,28111,Bacteroides eggerthii,Bacteroides eggerthii,Exact match
3,39778,Veillonella dispar,Veillonella dispar,Exact match
4,59823,Prevotella nanceiensis,Prevotella sp.,Not exact match
5,59823,Prevotella copri,Prevotella sp.,Not exact match
6,138074,Serratia symbiotica,Serratia symbiotica,Exact match
7,40520,Blautia obeum,Blautia obeum,Exact match
8,308113,Krokinobacter genikus,Krokinobacter genikus,Exact match
9,29466,Veillonella parvula,Veillonella parvula,Exact match
10,1538,Clostridium ljungdahlii,Clostridium ljungdahlii,Exact match
11,36845,Clostridium intestinale,Clostridium intestinale,Exact match
12,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,Exact match
13,1506,Clostridium difficile,Clostridium sp.,Not exact match
14,158847,Megamonas hypermegale,Megamonas hypermegale,Exact match
15,301302,Roseburia faecis,Roseburia faecis,Exact match
16,116085,Coprococcus catus,Coprococcus catus,Exact match
17,28132,Prevotella melaninogenica,Prevotella melaninogenica,Exact match
18,100176,Papillibacter cinnamivorans,Papillibacter cinnamivorans,Exact match
19,239935,Akkermansia muciniphila,Akkermansia muciniphila,Exact match
20,84112,Eggerthella lenta,Eggerthella lenta,Exact match
21,1502,Clostridium perfringens,Clostridium perfringens,Exact match
22,817,Bacteroides fragilis,Bacteroides fragilis,Exact match
23,310297,Bacteroides plebeius,Bacteroides plebeius,Exact match
24,33035,Blautia producta,Blautia producta,Exact match
25,74426,Collinsella aerofaciens,Collinsella aerofaciens,Exact match
26,1747,Propionibacterium acnes,Propionibacterium acnes,Exact match
27,119853,Oscillospira guilliermondii,Oscillospira guilliermondii,Exact match
28,47678,Bacteroides caccae,Bacteroides caccae,Exact match
29,33043,Coprococcus eutactus,Coprococcus eutactus,Exact match
30,820,Bacteroides uniformis,Bacteroides uniformis,Exact match
31,100884,Coprobacillus cateniformis,Coprobacillus cateniformis,Exact match
