,type,id,attributes.samples-count,attributes.biome-name,attributes.lineage,relationships.samples.links.related,relationships.studies.links.related,relationships.genomes.links.related,relationships.children.links.related,links.self
0,biomes,root:Engineered,284,Engineered,root:Engineered,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered
1,biomes,root:Engineered:Biogas plant,126,Biogas plant,root:Engineered:Biogas plant,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant
2,biomes,root:Engineered:Biogas plant:Wet fermentation,111,Wet fermentation,root:Engineered:Biogas plant:Wet fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation
3,biomes,root:Engineered:Bioreactor,1003,Bioreactor,root:Engineered:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor
4,biomes,root:Engineered:Bioreactor:Continuous culture,648,Continuous culture,root:Engineered:Bioreactor:Continuous culture,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture
5,biomes,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,23,Marine intertidal flat sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum
6,biomes,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,5,Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany
7,biomes,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,35,Marine sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum
8,biomes,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,8,Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany
9,biomes,root:Engineered:Bioremediation,49,Bioremediation,root:Engineered:Bioremediation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/studies,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation
