,GO:0030031,GO:0071554,GO:0016043,GO:0051301,GO:0016049,GO:0048870,GO:0032196,GO:0006811,GO:0009306,GO:0006810,GO:0046034,GO:0009058,GO:0005975,GO:0009056,GO:0006520,GO:0045333,GO:0051186,GO:0006259,GO:0022900,GO:0006091,GO:0046039,GO:0006629,GO:0006807,GO:0071941,GO:0009117,GO:0055114,GO:0016310,GO:0015979,GO:0019538,GO:0016070,GO:0044281,GO:0006790,GO:0009404,GO:0006351,GO:0006412,GO:0007154,GO:0006935,GO:0006950,GO:0007165,GO:0000160,GO:0000902,GO:0000746,GO:0042592,GO:0002376,GO:0009405,GO:0043934,GO:0044403,GO:0016032,GO:0042575,GO:0016469,GO:0005840,GO:0005667,GO:0005694,GO:0005737,GO:0005856,GO:0005783,GO:0005727,GO:0005794,GO:0005739,GO:0009295,GO:0005634,GO:0042597,GO:0009579,GO:0005773,GO:0031982,GO:0043190,GO:0005618,GO:0019861,GO:0016020,GO:0019867,GO:0009289,GO:0005886,GO:0070469,GO:0031012,GO:0019012,GO:0048037,GO:0008092,GO:0046872,GO:0003676,GO:0000166,GO:0005102,GO:0008134,GO:0051082,GO:0004812,GO:0016853,GO:0016874,GO:0016829,GO:0016491,GO:0016887,GO:0003924,GO:0004386,GO:0016787,GO:0016810,GO:0016788,GO:0016798,GO:0016298,GO:0004518,GO:0008233,GO:0016791,GO:0016407,GO:0034061,GO:0016301,GO:0004672,GO:0034062,GO:0016740,GO:0016746,GO:0016765,GO:0016757,GO:0030234,GO:0003774,GO:0001071,GO:0000988,GO:0004872,GO:0045182,GO:0005215,GO:0000156
0,8.77949e-05,0.0735242239,0.2736885759,0.0933738488,0.0,0.0326517151,0.2811990291,0.9313680263,0.0420298049,3.9587032025,0.1290824222,6.711288283,4.06233309,0.690818028,1.9284704759,0.0144781744,0.6114674164,2.2729297089,0.0088353578,0.3518659286,0.0078935581,0.5606501419,7.998393194,0.0014605876,0.5953770088,2.3291024713,0.3909186888,0.0265858869,2.5952167432,2.9551438383,4.0528113358,0.2617803972,0.0079254835,1.3649869537,1.4603960475,0.8360547087,0.0229623526,0.5349661479,0.7589787827,0.4944927068,0.0375522659,0.0157631722,0.1453564009,0.000271366,0.0106630876,0.0395476041,0.1255626455,0.1987516525,0.0347428296,0.1304153081,0.581681007,8.77949e-05,0.0449669428,1.2941364831,0.0012371097,0.0002234779,0.0984898961,0.0002474219,0.0002953101,0.002849343,0.0019155247,0.0546722681,0.0003112728,2.39441e-05,0.0003511795,0.0083325325,0.0286370946,0.0336573656,4.821455537,0.1031829317,0.0002075152,0.082503246,0.0002394406,0.0017000282,0.2364156574,1.9452472799,0.0012690351,1.2582283759,4.6072839105,5.1243399022,0.0006943777,0.0761421077,0.0557178253,0.7802091817,1.269378326,1.567689376,0.910991632,2.3106176578,1.0530517342,0.2118330901,0.1369360735,5.6265505774,0.492146189,0.7748776379,1.6131352,0.0008779488,0.3471329863,0.8085110594,0.0892794147,0.1047233328,0.1820067739,0.8226061288,0.2733533591,0.2901142004,4.1719968802,0.3838472101,0.2345719648,0.3963300462,0.0408086579,0.0098330269,0.6862127873,0.269394608,1.2632805723,0.0,1.9429646129,0.0050761405
1,0.0,0.0494338877,0.2830842694,0.0922840932,1.40677e-05,0.0320462141,0.2232121504,0.9377386233,0.0367026218,4.5307691485,0.1314344943,6.5556875418,3.9053052662,0.6175156334,1.874900471,0.0222691646,0.6462981418,1.8976901404,0.0082999413,0.3180565645,0.0071604578,0.551903894,7.584936535,0.0030386226,0.5711203683,2.4155502073,0.4123945415,0.0276148895,2.4520558814,2.886789926,3.9509408757,0.26903064,0.0052894541,1.4257189015,1.3305087273,0.9670838395,0.0277555664,0.519899883,0.8908369211,0.5718096854,0.0342829779,0.0105367052,0.1439125417,0.0002813539,0.0105367052,0.0420624144,0.1665333987,0.2567917435,0.0327777343,0.1291695951,0.5087723346,0.0001125416,0.0467188222,1.1815458824,0.0010269419,0.0001125416,0.0380531207,0.0001547447,0.0003094893,0.0006189787,0.0018850714,0.0860661711,0.0007315203,0.0,0.000140677,0.0087923107,0.0183583448,0.0335233223,5.5891382748,0.1325317747,0.000604911,0.0830556839,0.0001969478,0.001533379,0.297827216,2.0461465483,0.000464234,1.3298334779,4.1389415802,5.0903962082,0.0006471141,0.1045651928,0.0510235375,0.7273562127,1.1618792418,1.5108988077,0.9823613586,2.4348370201,1.1225037575,0.1914754257,0.1839773431,5.4983172221,0.4555542363,0.7345729413,1.492582666,0.0036998043,0.312274741,0.8027309339,0.0928186657,0.1244428489,0.1216152417,0.8201748784,0.3379764237,0.2580015655,4.0736956009,0.4216229508,0.2255192528,0.3811501862,0.0452839171,0.0072307963,0.7699954027,0.321981452,1.5273298779,0.0,2.1954188826,0.0058240266
2,0.0,0.0798016541,0.2755559728,0.1087307954,0.0,0.0221239184,0.1627837084,1.0372409571,0.0313040251,3.7418031785,0.1442846128,6.826541258,3.5484098555,0.6902856971,2.0969252614,0.0130410291,0.6941327313,2.1242572585,0.0080829382,0.3300949731,0.0034720525,0.562583607,8.1781557346,0.0017360262,0.614719947,2.3898276084,0.4107993609,0.0334566977,2.7070620992,2.9699659128,4.3212748488,0.3021935594,0.0049442027,1.252855416,1.465372804,0.8034329433,0.0233460809,0.5858324704,0.7176315825,0.4766433641,0.0438867433,0.0240682678,0.1067725578,0.000263876,0.0091384421,0.0543306772,0.1189941825,0.1815189035,0.0369009737,0.144965135,0.5011421664,8.33293e-05,0.0533585025,1.2289399185,0.0010416157,8.33293e-05,0.0679827875,1.38882e-05,0.0007777398,0.000597193,0.0009443983,0.0529140798,0.0006805223,0.0,8.33293e-05,0.0089717836,0.0194434939,0.0227072232,4.5491387088,0.0699549133,0.0002083231,0.0883706797,0.0005833048,0.0005694166,0.2161144344,2.0911755425,0.0006110812,1.2570357671,4.316594522,5.724734013,0.0007082987,0.0770934532,0.0558583803,0.8529582998,1.3159217772,1.7237212847,0.9367180938,2.383314038,1.2647437236,0.2195031576,0.1525203212,5.6516125878,0.5200856847,0.7293532316,1.3199215816,0.0003055406,0.368856967,0.8773321082,0.0758990672,0.1077863971,0.1480344294,0.8298760949,0.2515571461,0.2865970997,4.2874015048,0.3907725622,0.2738893876,0.4379924759,0.0430673389,0.0055413958,0.5955681056,0.2212947367,0.7222424681,0.0,2.1100496198,0.0054997311
3,2.79744e-05,0.0790416421,0.2737294171,0.1075195723,0.0,0.02274318,0.1636781625,1.0440042767,0.0308557534,3.7456730611,0.1453129747,6.8201845303,3.5541463922,0.6892750101,2.1098425657,0.0124625912,0.6934571816,2.1218016179,0.0076370088,0.3304335079,0.0040283123,0.5612641963,8.1748024588,0.0017344122,0.610806843,2.3951533808,0.4075728915,0.0324363065,2.7161175573,2.9635370596,4.3345060198,0.2988783948,0.0045598258,1.2445946483,1.4771877233,0.8136631402,0.0234145654,0.5834618757,0.7272222716,0.482921914,0.0431365111,0.0245195538,0.107002046,0.0002377823,0.0098749601,0.0546060115,0.1197443812,0.18159576,0.0364366444,0.1472711821,0.5068959672,6.9936e-05,0.0540325365,1.2448743922,0.0010490397,6.9936e-05,0.0687190918,0.0,0.0006573982,0.0005594878,0.0011609372,0.0544521523,0.0008112573,2.79744e-05,9.79104e-05,0.0086440869,0.0189946116,0.0234705142,4.5513914742,0.0708591327,0.0001538592,0.0869863692,0.0005315134,0.0006993598,0.2191653673,2.1014362612,0.000783283,1.2532667095,4.3040419079,5.7039643629,0.0006993598,0.0757966127,0.0573475018,0.8562261763,1.3095092229,1.7269151128,0.9395059387,2.3885793989,1.2506091424,0.2168295056,0.1559152689,5.629300713,0.5198760846,0.7283971961,1.313020009,0.000139872,0.3625760834,0.8726331567,0.0792654372,0.1063866094,0.1475229516,0.8321681999,0.2556719477,0.2876187023,4.2810329712,0.3863543158,0.2721908256,0.4375474516,0.0419056379,0.0060284813,0.5904274991,0.2166196977,0.7244667941,0.0,2.1129057615,0.0060284813
4,0.0,0.0753229713,0.2770864343,0.101965342,9.6321e-06,0.0369005503,0.255529809,0.9540684952,0.0413216812,3.8568828869,0.1561266039,6.8531767463,3.8326196434,0.6549823593,1.9960009474,0.0165768329,0.6478160817,2.1266217676,0.0103448684,0.3489900124,0.0057021994,0.565654324,8.0479127302,0.0018975224,0.6178217425,2.2862351893,0.3979114154,0.0268061163,2.6871325537,2.960414311,4.1795291235,0.2877298976,0.0042670174,1.380760606,1.4607551426,0.8949081768,0.0335582138,0.5340128968,0.8162332369,0.5381065365,0.0431228827,0.0257851144,0.1160378306,0.0004238121,0.0137931579,0.0598923575,0.1344832897,0.2069936897,0.0383357322,0.1542290814,0.5749974547,0.0002311702,0.0547680837,1.3064297403,0.0014640782,0.0002504344,0.0348778106,0.0001444814,0.0004334442,0.0005008689,0.0021190606,0.0490658844,0.0004334442,9.6321e-06,0.000202274,0.0094105554,0.0244173571,0.0390196108,4.6672501789,0.0715760869,0.0004816047,0.0792239692,0.0002504344,0.0009150489,0.2421604632,1.968771019,0.0010498982,1.254801719,4.5214588114,5.3412462908,0.0009054168,0.061693559,0.0549607256,0.7808738216,1.2721298553,1.589950413,0.9215698116,2.2751293855,1.2018348368,0.2156240455,0.1470531718,5.6536728762,0.4849855408,0.7194595933,1.4535503367,0.0005971898,0.3355339777,0.8672159079,0.0863324542,0.1116937564,0.1219712002,0.8114268222,0.2754875067,0.2757090449,4.1965105044,0.3983063312,0.2527461339,0.4283488309,0.0468216066,0.0104508215,0.6970071833,0.2448670814,0.9676882754,2.88963e-05,2.0204183045,0.006694305
5,0.0,0.0733568984,0.2770217428,0.103100367,0.0,0.0370220526,0.2543245629,0.9544720704,0.0413582302,3.8516194849,0.1571961191,6.8460792436,3.8446796649,0.6531754758,1.9857080359,0.0165316773,0.6459840026,2.1351416227,0.0106759017,0.3493623496,0.0058751336,0.5688135908,8.0344726124,0.0017034984,0.624080498,2.2858721912,0.399421972,0.0257266969,2.6952344633,2.956876326,4.1661762656,0.28333243,0.0044426463,1.3830858099,1.4699739055,0.8957691295,0.0342345098,0.5383635575,0.8166629241,0.5374537345,0.0425971381,0.0257170179,0.1154507302,0.000600096,0.0134150496,0.0592836789,0.1343634336,0.2053877007,0.0381641708,0.1534406795,0.5803315627,0.0001258266,0.0551217227,1.3118292475,0.0015486349,0.0002226163,0.0341473991,7.74317e-05,0.0004645905,0.000609775,0.0017712511,0.0495176002,0.0005033063,0.0,0.0002226163,0.0093402041,0.0244490731,0.0383480712,4.6648947703,0.0714598207,0.0005807381,0.0772478435,0.0002516532,0.0007452805,0.2451005064,1.9672696018,0.0010646865,1.2573172998,4.539794109,5.3417546807,0.000909823,0.0605613027,0.0552281913,0.7857095845,1.269667663,1.5945809394,0.9233638673,2.2771707989,1.1996306506,0.2146117572,0.1474300404,5.6462066189,0.4774247751,0.7209185728,1.4535293389,0.0004355536,0.3372733186,0.8680195283,0.0859782727,0.1105918883,0.121848528,0.811252381,0.2754150341,0.2805642451,4.1838210243,0.3959278646,0.2511014666,0.4292138355,0.046875242,0.0104339275,0.7011347622,0.2443358679,0.9640832856,4.83948e-05,2.0195941028,0.0061945395
6,0.0,0.0936031714,0.2695145214,0.0912383175,1.12612e-05,0.0271507755,0.2802689762,0.9427659174,0.0381417158,4.0859270807,0.1321277683,6.9452945093,4.0034950289,0.6744000394,2.0539432194,0.0142566909,0.6326434754,2.0959813136,0.0098873417,0.3388835705,0.0079504137,0.5768554447,7.9266413297,0.0013288227,0.6062922457,2.2642688249,0.3773293389,0.0265877151,2.8682863063,2.8867434283,4.1828072641,0.2781293465,0.0035022361,1.3068633354,1.5338893142,0.737879476,0.0199886464,0.5446709086,0.6603573114,0.4349754691,0.0374209984,0.014042728,0.1089972445,0.0003941423,0.0101576108,0.028952569,0.1207426858,0.1853257209,0.0385696417,0.1320939847,0.6157291391,6.75673e-05,0.0466101452,1.3363226589,0.0009797252,9.00897e-05,0.030134996,4.50448e-05,0.0004617096,0.0002927914,0.0015202633,0.0389300004,0.0003040527,0.0,4.50448e-05,0.0080292422,0.0258219528,0.0274097834,4.9175786463,0.1059679792,0.0005630605,0.0711595814,0.0004054035,0.0009909864,0.2171724207,1.9169393475,0.0007207174,1.2291609915,4.4071530751,5.226822714,0.0008896355,0.0791775624,0.0543240735,0.8137462428,1.2598027419,1.596028667,0.9296578698,2.2488522294,1.0358172896,0.2170935922,0.1464520265,5.6980029709,0.4700653972,0.7446812464,1.5894859044,0.0006531501,0.3421493212,0.9341398311,0.097184236,0.0937720896,0.1231525845,0.7865954673,0.2473412003,0.2962486322,4.0298349974,0.3744014245,0.2337038759,0.4029260676,0.0515425548,0.0077589732,0.6515848294,0.2528591929,1.2942057362,0.0,2.0111281018,0.0057319555
7,0.0,0.0609044104,0.2509367628,0.0688908322,0.0,0.0060692569,0.0808492808,0.9202073843,0.0173074446,4.856390578,0.0901385273,6.5809174937,4.5363829178,0.788675042,1.7636646194,0.0169367221,0.6088428543,1.9932583584,0.010242533,0.3194356883,0.0127740381,0.5364036782,7.4403369804,0.0014299296,0.5488069938,2.3869868353,0.3996600369,0.0231330839,2.4250653319,2.7338242123,3.8468708479,0.2476849969,0.0126045649,1.3195072907,1.2212552367,0.7963013334,0.0041838682,0.4795136629,0.735238042,0.4620897055,0.0288951707,0.0018006521,0.1720364232,7.41445e-05,0.0272533996,0.0054443247,0.1118734578,0.1770994333,0.0239168972,0.0947884467,0.4863243648,0.0001588811,0.0246265659,1.1601072087,0.0047134718,9.53286e-05,0.2452170443,2.11841e-05,0.0002648018,0.0003813146,0.0019701253,0.0502911549,0.0001059207,0.0,2.11841e-05,0.0071390561,0.0503017469,0.005942152,5.9126213428,0.1802664626,0.0011439437,0.0710622068,0.0001906573,0.0010592071,0.1998512026,1.8848591,0.0009426944,1.1060240923,3.857717129,4.8335858483,0.0004236829,0.1149239743,0.0360024506,0.6414770262,1.3056316772,1.3408397225,1.0198152234,2.3715541873,0.7975088296,0.1908267578,0.1240225637,5.9492487256,0.542748329,0.8751804889,2.0036174042,0.0004342749,0.349813749,0.8533714139,0.1096491228,0.0846518344,0.3271784925,0.8489015598,0.2845348132,0.2508520262,3.9693787454,0.3529384101,0.1916847156,0.3266171127,0.0438935438,0.0056032058,0.7101030566,0.2985798998,2.1875487235,0.0,2.1555818521,0.0009532864
8,1.22202e-05,0.0605634675,0.3172127705,0.102124475,1.22202e-05,0.0238050111,0.226624194,0.9469579628,0.0325424766,4.0300123999,0.1260394682,6.5134933964,4.1308781911,0.6989361433,1.9245398258,0.0121346899,0.6284498477,2.3059943535,0.0077476268,0.3428508163,0.0051813782,0.5511080023,7.982353008,0.0015153087,0.5824651164,2.3279907703,0.4069948117,0.0283142765,2.46889004,2.8691026232,4.0676140523,0.2571014515,0.0086763644,1.2911652247,1.3528407334,0.8461410525,0.0177071155,0.5372869204,0.7704978192,0.5089604237,0.0405467283,0.0207621734,0.1405693235,0.0003055058,0.010924887,0.05330465,0.1739549961,0.2944220386,0.0343144102,0.1265282774,0.4915954747,7.33214e-05,0.0429785543,1.2051347947,0.0012220232,0.0003788272,0.0838674491,4.88809e-05,0.0004154879,0.0006110116,0.0015397492,0.0585593496,0.0003299463,0.0,0.0001466428,0.0086885846,0.021690911,0.0242449394,4.8650819226,0.0829875924,0.0004399283,0.0828287294,0.0002199642,0.0027373319,0.33724173,2.0028959505,0.0008309757,1.2641951737,4.4782871537,5.2099857378,0.0011120411,0.0941446638,0.0523148113,0.7603428068,1.2611889968,1.5553055296,0.9801236712,2.3166748359,1.1155604974,0.2123143029,0.1411925553,5.8235513435,0.5013961004,0.7785631721,1.7112479044,0.0006598925,0.3510261512,0.8147472777,0.09288598,0.1077457815,0.1575310049,0.8104213157,0.2860878407,0.2794644752,4.1422918873,0.3865992452,0.2439769228,0.4044041226,0.0364529507,0.0064767227,0.6404134544,0.2380012296,1.1296504244,0.0,2.0828529255,0.0055479851
9,1.08218e-05,0.0601581318,0.3282346278,0.100966967,0.0,0.0235481372,0.2297025554,0.9375318565,0.0321406101,4.0213205873,0.1237575815,6.4996538121,4.110632525,0.7040200436,1.9197792016,0.0123367998,0.6216881374,2.3247076016,0.008365216,0.3440127454,0.0044693845,0.5556321495,7.9904803192,0.0017206589,0.5819398341,2.3291228773,0.4063352281,0.0288832621,2.4596115899,2.8592265086,4.0541537897,0.2546683425,0.0089063037,1.2911326762,1.3459015744,0.8540636661,0.0180939731,0.5351141035,0.7787875436,0.5108517305,0.0395643335,0.0209292727,0.1418082675,0.0003787614,0.0123476216,0.0494878821,0.1948240415,0.3279207969,0.0337638732,0.1255756362,0.4925088571,6.49305e-05,0.0432112647,1.2033033188,0.0010280667,0.0003571179,0.086087055,0.0001298611,0.0003462961,0.0006493053,0.0013960063,0.0591625304,0.0003030091,3.24653e-05,0.0002056133,0.0091119171,0.0224984271,0.0245112733,4.8689561314,0.0842906437,0.0004220484,0.0805246733,0.0001190393,0.0024240729,0.371727258,1.9880211838,0.0007575228,1.2543928206,4.4806066589,5.2061728152,0.0010929972,0.0947336366,0.0527668737,0.7562025425,1.2613187433,1.5459308797,0.9643481635,2.3116782095,1.1207116905,0.2092927269,0.1412455363,5.8093232876,0.500527777,0.7782464559,1.6998703337,0.0005086224,0.3519775565,0.8148997375,0.09123821,0.1093646483,0.1589066392,0.8166745052,0.2933020051,0.2826317554,4.1570037419,0.3888472732,0.2411195061,0.397136737,0.0353871364,0.0059627866,0.640377307,0.2420177117,1.1329078075,0.0,2.0857308028,0.0051295115
10,0.0,0.0677581461,0.3420089875,0.1052413758,0.0,0.0138632614,0.2237635231,0.9961743515,0.0253965628,3.9071825528,0.1334921395,6.7479424634,3.7696566702,0.6808725292,1.9975911127,0.0133827071,0.636938223,2.3143928467,0.0081985464,0.3374073167,0.0040919921,0.5743351132,8.1202888393,0.0019950282,0.609779628,2.2560127891,0.3908944585,0.0304787878,2.6829342525,2.9338418082,4.1540709278,0.2654552429,0.0048201045,1.2827739803,1.4530503616,0.7585766916,0.0131933979,0.5597583016,0.6767368504,0.4493182028,0.0383569647,0.0208968278,0.1199638099,0.0003640562,0.0133098959,0.0495698967,0.2438448649,0.3827250366,0.0402646194,0.1389966698,0.5347549195,7.28112e-05,0.0496718324,1.2620664618,0.000465992,0.0001456225,0.0558899129,2.91245e-05,0.0010193575,0.0011358554,0.0005388032,0.0495407722,0.0005533655,0.0,0.0001310602,0.0082276709,0.0230374784,0.0141981931,4.7078441449,0.0757236965,0.0003349317,0.0898345161,0.0006553012,0.0007426747,0.4590457853,1.9445990874,0.0005096787,1.226796694,4.5815603188,5.4044147789,0.0007281125,0.0714132707,0.0562830936,0.8140734237,1.2881474503,1.6620477639,0.9335858039,2.2515713031,1.1560532868,0.2138757558,0.1415887501,5.5918891766,0.4826075047,0.7522421131,1.4108926499,0.0007281125,0.354124779,0.8863749916,0.0873880582,0.0997222833,0.1300700109,0.8016663873,0.2545044314,0.28362893,4.1342517064,0.3666337511,0.257518817,0.40605376,0.0398277519,0.0031163214,0.652767388,0.2593390981,1.0277598703,0.0,2.0386420936,0.0033784418
11,0.0,0.067153377,0.338292721,0.1075385345,0.0,0.013631049,0.2168126995,0.9942058164,0.0249620348,3.9060010764,0.1327404533,6.7317626865,3.7700856893,0.6869710031,2.0172259207,0.0129537298,0.6357205166,2.3050865826,0.0069425218,0.3397038027,0.0032737095,0.5737881419,8.124401525,0.0019896252,0.6091498487,2.2602706285,0.3887812234,0.0297032693,2.6855142024,2.9381683765,4.1770839771,0.267752748,0.0053762212,1.2779884523,1.4597075505,0.752896739,0.0118954185,0.5583932408,0.6734387298,0.4452386012,0.039425622,0.01986803,0.11920818,0.0003809921,0.0132218353,0.050051067,0.242494386,0.378184,0.0384096432,0.1371853605,0.5316391322,2.82216e-05,0.0500369562,1.2635671975,0.0005926543,9.87757e-05,0.0564855995,2.82216e-05,0.0008184274,0.0014393033,0.0005503219,0.0495712993,0.0005079894,0.0,0.0002116623,0.008085498,0.0224220878,0.0137298247,4.7051954052,0.0771015028,0.0001975514,0.087868056,0.0005644327,0.0010442004,0.4416262321,1.9468270559,0.0005785435,1.2309147676,4.5768293051,5.4088171721,0.001001868,0.0713584004,0.0566549293,0.8234790444,1.2904200818,1.6707348151,0.9287175158,2.2557551672,1.1613061085,0.2077112227,0.1422511438,5.5909878164,0.4805438647,0.7573416463,1.4123657603,0.0005503219,0.3541250574,0.8855384166,0.0903374489,0.0992554851,0.1262494775,0.8059675209,0.2555751131,0.2833452005,4.1303771737,0.3701126128,0.2632231758,0.4058412008,0.0388188569,0.0035277042,0.6454005369,0.2578469546,1.0271827952,0.0,2.0343141198,0.0033724852
12,1.1941e-05,0.063991819,0.2891751969,0.105713673,0.0,0.013003749,0.2231414669,1.0018260177,0.025697032,3.8650628789,0.13636622,6.7727680241,3.8305772709,0.6922555928,2.0219217654,0.013564976,0.6432736108,2.2751187294,0.007690004,0.3466830529,0.004131586,0.5800818388,8.1449919207,0.002113557,0.6198214868,2.2756321924,0.3890855439,0.029709208,2.7083262682,2.9643651902,4.2046768598,0.2646245009,0.00513463,1.2920878456,1.4833707246,0.7575609218,0.012490286,0.5696812278,0.6763979448,0.4512503899,0.038485843,0.021266921,0.121893728,0.000226879,0.012346994,0.049292448,0.150910358,0.2370407909,0.038963483,0.139482821,0.5544445118,8.3587e-05,0.049614855,1.2873114456,0.00059705,0.000179115,0.054307668,2.3882e-05,0.000811988,0.001253805,0.000549286,0.047608767,0.000740342,0.0,0.000167174,0.00823929,0.022031145,0.013576917,4.6436757837,0.075550707,0.000262702,0.088064875,0.000632873,0.000668696,0.2835271039,1.9681753244,0.000501522,1.2327291347,4.6081751907,5.4335609925,0.000740342,0.072338578,0.056564517,0.8228423688,1.3082679006,1.6760745825,0.9401029887,2.2683243004,1.1607846097,0.2125736819,0.146360837,5.6164971124,0.4845777209,0.7530949878,1.4374575796,0.000776165,0.3533700129,0.8802905198,0.088088757,0.097868436,0.130240487,0.8097311508,0.2570300249,0.2812702549,4.1600414018,0.3671976909,0.2649946719,0.4073910969,0.038879896,0.003295716,0.6566475308,0.2600152749,1.0193554057,0.0,2.0128466054,0.003713651
13,0.0,0.0664948834,0.2882488822,0.1079367495,0.0,0.0131296368,0.2215104279,1.0020858957,0.0259809068,3.8742983415,0.1351123141,6.7676550701,3.8115266149,0.6929363018,2.0292016114,0.0136747719,0.6469825728,2.2715431592,0.007550701,0.3462767737,0.0038739388,0.5851851302,8.1490970011,0.0023661183,0.6161882391,2.2872824853,0.3863152069,0.0324761335,2.7049951541,2.9642474886,4.2070859212,0.271628061,0.0048830186,1.2877366872,1.4778148573,0.7501986843,0.0128976645,0.5737024973,0.669634676,0.445723334,0.038855374,0.0208195213,0.1208228153,0.0001971765,0.0124221211,0.0489693699,0.1489146708,0.2356027501,0.0365820447,0.137640813,0.5490554317,4.63945e-05,0.0502104221,1.2867971991,0.0006379241,9.2789e-05,0.0549542574,2.31972e-05,0.0008698964,0.0012526509,0.0006727199,0.0496304912,0.0006147268,0.0,0.0001391834,0.0080494417,0.0216894177,0.0133616092,4.6442030798,0.0763537096,0.0001623807,0.0885438583,0.0006611213,0.000730713,0.2800022641,1.9592271423,0.0005567337,1.2439403014,4.5974142502,5.4357972357,0.0008003047,0.0734656535,0.0574247632,0.8234903585,1.3023857432,1.6887241473,0.9343615587,2.2791750505,1.159084804,0.2117211933,0.1508748374,5.6306540369,0.4822125897,0.7569490807,1.4353871086,0.0007539102,0.3540130526,0.8873291581,0.0884974638,0.0999337023,0.1271904572,0.804503419,0.2536965959,0.2827047423,4.1637998746,0.3736843106,0.2650864399,0.4064736069,0.0388205782,0.0033172051,0.6524571211,0.2583940366,1.0111560158,1.15986e-05,2.0159907842,0.0034795857
