,type,id,attributes.accession,attributes.count,attributes.description,attributes.lineage,links.self,Sample_id,attributes.relative_abundance
0,go-terms,GO:0030031,GO:0030031,0,cell projection assembly,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0030031,MGYA00005325,0.0
1,go-terms,GO:0071554,GO:0071554,5823,cell wall organization or biogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071554,MGYA00005325,0.0599157907
2,go-terms,GO:0016043,GO:0016043,25680,cellular component organization,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016043,MGYA00005325,0.2642345019
3,go-terms,GO:0051301,GO:0051301,9153,cell division,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051301,MGYA00005325,0.0941798441
4,go-terms,GO:0016049,GO:0016049,1,cell growth,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016049,MGYA00005325,1.02895e-05
5,go-terms,GO:0048870,GO:0048870,1663,cell motility,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0048870,MGYA00005325,0.0171114477
6,go-terms,GO:0032196,GO:0032196,21693,transposition,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0032196,MGYA00005325,0.2232102434
7,go-terms,GO:0006811,GO:0006811,92313,ion transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006811,MGYA00005325,0.9498551238
8,go-terms,GO:0009306,GO:0009306,2700,protein secretion,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009306,MGYA00005325,0.0277816649
9,go-terms,GO:0006810,GO:0006810,405128,transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006810,MGYA00005325,4.1685667954
10,go-terms,GO:0046034,GO:0046034,12119,ATP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046034,MGYA00005325,0.1246985175
11,go-terms,GO:0009058,GO:0009058,629363,biosynthetic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009058,MGYA00005325,6.4758340673
12,go-terms,GO:0005975,GO:0005975,414858,carbohydrate metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005975,MGYA00005325,4.2686836841
13,go-terms,GO:0009056,GO:0009056,68723,catabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009056,MGYA00005325,0.7071256884
14,go-terms,GO:0006520,GO:0006520,186922,cellular amino acid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006520,MGYA00005325,1.9233349522
15,go-terms,GO:0045333,GO:0045333,1232,cellular respiration,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0045333,MGYA00005325,0.0126766708
16,go-terms,GO:0051186,GO:0051186,61584,cofactor metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051186,MGYA00005325,0.6336689084
17,go-terms,GO:0006259,GO:0006259,213036,DNA metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006259,MGYA00005325,2.1920350996
18,go-terms,GO:0022900,GO:0022900,860,electron transport chain,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0022900,MGYA00005325,0.0088489748
19,go-terms,GO:0006091,GO:0006091,34166,generation of precursor metabolites and energy,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006091,MGYA00005325,0.3515512459
