,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.genus,attributes.hierarchy.family,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Betaproteobacteria:MND1,1,Bacteria:Proteobacteria:Betaproteobacteria:MND1,Betaproteobacteria,Proteobacteria,Bacteria,MND1,Bacteria,MND1,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253AMND1,,,,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,1036.0,2.4684886464,1.0,0.0023831653,,,,,,
1,organisms,Bacteria:Cyanobacteria:Synechococcophycideae:Pseudanabaenales:Pseudanabaenaceae:Pseudanabaena,1,Bacteria:Cyanobacteria:Synechococcophycideae:Pseudanabaenales:Pseudanabaenaceae:Pseudanabaena,Synechococcophycideae,Cyanobacteria,Bacteria,Pseudanabaenales,Bacteria,Pseudanabaena,Pseudanabaenaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253ASynechococcophycideae%253APseudanabaenales%253APseudanabaenaceae%253APseudanabaena,Pseudanabaena,Pseudanabaenaceae,,MGYA00005319,41968.0,99.997617289,1.0,0.002382711,1.0,0.002382711,1.0,0.0023831653,1.0,0.0025473813,1.0,0.0031619554,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,148,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,Anaerostipes,Lachnospiraceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,148.0,0.4679693923,,
3,organisms,Bacteria:Proteobacteria:Alphaproteobacteria:Rhodospirillales:Rhodospirillaceae:Rhodospirillum:rubrum,1,Bacteria:Proteobacteria:Alphaproteobacteria:Rhodospirillales:Rhodospirillaceae:Rhodospirillum:rubrum,Alphaproteobacteria,Proteobacteria,Bacteria,Rhodospirillales,Bacteria,rubrum,Rhodospirillum,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AAlphaproteobacteria%253ARhodospirillales%253ARhodospirillaceae%253ARhodospirillum%253Arubrum,Rhodospirillum,Rhodospirillaceae,rubrum,MGYA00005319,41968.0,99.997617289,1714.0,4.0839667374,393.0,0.9364054421,20.0,0.0476633064,1.0,0.0025473813,1.0,0.0031619554,1.0,0.0160590975
4,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,3,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,RF16,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARF16,,RF16,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,3.0,0.0076421439,,,,
5,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Micrococcaceae,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Micrococcaceae,Actinobacteria,Actinobacteria,Bacteria,Actinomycetales,Bacteria,Micrococcaceae,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AMicrococcaceae,,Micrococcaceae,,MGYA00005319,41968.0,99.997617289,391.0,0.93164002,225.0,0.5361099859,12.0,0.0285979838,1.0,0.0025473813,,,,
6,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,Actinobacteria,Actinobacteria,Bacteria,Actinomycetales,Bacteria,Microbacteriaceae,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AMicrobacteriaceae,,Microbacteriaceae,,MGYA00005319,41968.0,99.997617289,391.0,0.93164002,225.0,0.5361099859,12.0,0.0285979838,1.0,0.0025473813,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,4,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,,Marinilabiaceae,,MGYA00005319,41968.0,99.997617289,20474.0,48.7836260097,20468.0,48.7693297434,20468.0,48.7786277734,4.0,0.0101895252,,,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Coprococcus:catus,8,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Coprococcus:catus,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,catus,Coprococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ACoprococcus%253Acatus,Coprococcus,Lachnospiraceae,catus,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,8441.0,21.502445486,808.0,2.5548599254,8.0,0.1284727798
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,104,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,SMB53,Clostridiaceae,,MGYA00005319,41968.0,99.997617289,19350.0,46.105458791,19069.0,45.4359169863,19064.0,45.4326636639,271.0,0.6903403301,104.0,0.3288433567,,
