,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.family,attributes.hierarchy.class,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,alvei,Hafnia,Bacteria,alvei,Hafnia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AHafnia%253Aalvei,MGYA00005320,21657.0,99.9676883309,1387.0,6.4023264402,32.0,0.1477104874,16.0,0.0738654725,16.0,0.0814498066,1.0,0.0067145639,1.0,0.0239865675
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Clostridiales,Firmicutes,Tissierellaceae,Clostridia,Bacteria,,GW-34,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,MGYA00005320,21657.0,99.9676883309,11488.0,53.0280649926,11116.0,51.3109305761,11112.0,51.2995706569,7.0,0.0356342904,1.0,0.0067145639,,
2,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:gut:metagenome,1,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:gut:metagenome,Erysipelotrichales,Firmicutes,Erysipelotrichaceae,Erysipelotrichi,Bacteria,metagenome,gut,Bacteria,metagenome,gut,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253Agut%253Ametagenome,MGYA00005320,21657.0,99.9676883309,11488.0,53.0280649926,325.0,1.5001846381,325.0,1.5003924103,325.0,1.6544491957,1.0,0.0067145639,1.0,0.0239865675
3,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,99,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005320,21657.0,99.9676883309,11488.0,53.0280649926,11116.0,51.3109305761,11112.0,51.2995706569,4517.0,22.9942985135,99.0,0.664741825,,
4,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,Bacteroidales,Bacteroidetes,RF16,Bacteroidia,Bacteria,,,Bacteria,RF16,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARF16,MGYA00005320,21657.0,99.9676883309,8431.0,38.9170974889,8428.0,38.9032496307,8428.0,38.9086376437,2.0,0.0101812258,,,,
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridiales,Firmicutes,Acidaminobacteraceae,Clostridia,Bacteria,,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005320,21657.0,99.9676883309,11488.0,53.0280649926,11116.0,51.3109305761,11112.0,51.2995706569,1.0,0.0050906129,1.0,0.0067145639,,
6,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,3,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,Bacteroidales,Bacteroidetes,Bacteroidaceae,Bacteroidia,Bacteria,,,Bacteria,Bacteroidaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae,MGYA00005320,21657.0,99.9676883309,8431.0,38.9170974889,8428.0,38.9032496307,8428.0,38.9086376437,5627.0,28.6448788434,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,4,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidales,Bacteroidetes,Marinilabiaceae,Bacteroidia,Bacteria,,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005320,21657.0,99.9676883309,8431.0,38.9170974889,8428.0,38.9032496307,8428.0,38.9086376437,4.0,0.0203624516,,,,
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidales,Bacteroidetes,Porphyromonadaceae,Bacteroidia,Bacteria,,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,MGYA00005320,21657.0,99.9676883309,8431.0,38.9170974889,8428.0,38.9032496307,8428.0,38.9086376437,418.0,2.1278761963,2.0,0.0134291278,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,50,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,MGYA00005320,21657.0,99.9676883309,11488.0,53.0280649926,11116.0,51.3109305761,11112.0,51.2995706569,267.0,1.3591936469,50.0,0.3357281945,,
