,Sample combination,Jaccard_similarity_value
0,"(0, 1)",0.53
1,"(0, 2)",0.44
2,"(0, 3)",0.51
3,"(0, 4)",0.49
4,"(0, 5)",0.52
5,"(0, 6)",0.42
6,"(0, 7)",0.62
7,"(0, 8)",0.52
8,"(0, 9)",0.51
9,"(0, 10)",0.41
10,"(0, 11)",0.42
11,"(0, 12)",0.44
12,"(0, 13)",0.43
13,"(0, 14)",0.46
14,"(0, 15)",0.43
15,"(0, 16)",0.53
16,"(0, 17)",0.45
17,"(0, 18)",0.54
18,"(0, 19)",0.52
19,"(0, 20)",0.48
20,"(0, 21)",0.61
21,"(0, 22)",0.63
22,"(0, 23)",0.55
23,"(0, 24)",0.55
24,"(0, 25)",0.49
25,"(0, 26)",0.52
26,"(0, 27)",0.54
27,"(0, 28)",0.34
28,"(0, 29)",0.41
29,"(0, 30)",0.33
30,"(0, 31)",0.4
31,"(0, 32)",0.49
32,"(0, 33)",0.48
33,"(0, 34)",0.43
34,"(0, 35)",0.45
35,"(0, 36)",0.51
36,"(0, 37)",0.56
37,"(0, 38)",0.58
38,"(0, 39)",0.49
39,"(1, 2)",0.52
40,"(1, 3)",0.56
41,"(1, 4)",0.51
42,"(1, 5)",0.5
43,"(1, 6)",0.49
44,"(1, 7)",0.64
45,"(1, 8)",0.52
46,"(1, 9)",0.51
47,"(1, 10)",0.5
48,"(1, 11)",0.51
49,"(1, 12)",0.49
50,"(1, 13)",0.52
51,"(1, 14)",0.53
52,"(1, 15)",0.51
53,"(1, 16)",0.53
54,"(1, 17)",0.51
55,"(1, 18)",0.54
56,"(1, 19)",0.5
57,"(1, 20)",0.36
58,"(1, 21)",0.66
59,"(1, 22)",0.68
60,"(1, 23)",0.65
61,"(1, 24)",0.64
62,"(1, 25)",0.56
63,"(1, 26)",0.59
64,"(1, 27)",0.58
65,"(1, 28)",0.52
66,"(1, 29)",0.53
67,"(1, 30)",0.54
68,"(1, 31)",0.51
69,"(1, 32)",0.54
70,"(1, 33)",0.49
71,"(1, 34)",0.5
72,"(1, 35)",0.49
73,"(1, 36)",0.45
74,"(1, 37)",0.57
75,"(1, 38)",0.6
76,"(1, 39)",0.5
77,"(2, 3)",0.27
78,"(2, 4)",0.46
79,"(2, 5)",0.41
80,"(2, 6)",0.45
81,"(2, 7)",0.61
82,"(2, 8)",0.44
83,"(2, 9)",0.44
84,"(2, 10)",0.38
85,"(2, 11)",0.43
86,"(2, 12)",0.43
87,"(2, 13)",0.4
88,"(2, 14)",0.52
89,"(2, 15)",0.46
90,"(2, 16)",0.49
91,"(2, 17)",0.39
92,"(2, 18)",0.52
93,"(2, 19)",0.45
94,"(2, 20)",0.48
95,"(2, 21)",0.62
96,"(2, 22)",0.67
97,"(2, 23)",0.6
98,"(2, 24)",0.61
99,"(2, 25)",0.51
100,"(2, 26)",0.58
101,"(2, 27)",0.53
102,"(2, 28)",0.45
103,"(2, 29)",0.51
104,"(2, 30)",0.45
105,"(2, 31)",0.45
106,"(2, 32)",0.49
107,"(2, 33)",0.5
108,"(2, 34)",0.42
109,"(2, 35)",0.38
110,"(2, 36)",0.43
111,"(2, 37)",0.49
112,"(2, 38)",0.55
113,"(2, 39)",0.44
114,"(3, 4)",0.51
115,"(3, 5)",0.44
116,"(3, 6)",0.45
117,"(3, 7)",0.64
118,"(3, 8)",0.44
119,"(3, 9)",0.44
120,"(3, 10)",0.4
121,"(3, 11)",0.45
122,"(3, 12)",0.41
123,"(3, 13)",0.36
124,"(3, 14)",0.5
125,"(3, 15)",0.39
126,"(3, 16)",0.45
127,"(3, 17)",0.43
128,"(3, 18)",0.54
129,"(3, 19)",0.49
130,"(3, 20)",0.5
131,"(3, 21)",0.64
132,"(3, 22)",0.68
133,"(3, 23)",0.67
134,"(3, 24)",0.59
135,"(3, 25)",0.53
136,"(3, 26)",0.65
137,"(3, 27)",0.57
138,"(3, 28)",0.49
139,"(3, 29)",0.51
140,"(3, 30)",0.47
141,"(3, 31)",0.48
142,"(3, 32)",0.48
143,"(3, 33)",0.55
144,"(3, 34)",0.47
145,"(3, 35)",0.42
146,"(3, 36)",0.43
147,"(3, 37)",0.51
148,"(3, 38)",0.59
149,"(3, 39)",0.47
150,"(4, 5)",0.31
151,"(4, 6)",0.38
152,"(4, 7)",0.72
153,"(4, 8)",0.57
154,"(4, 9)",0.61
155,"(4, 10)",0.54
156,"(4, 11)",0.53
157,"(4, 12)",0.48
158,"(4, 13)",0.49
159,"(4, 14)",0.57
160,"(4, 15)",0.54
161,"(4, 16)",0.59
162,"(4, 17)",0.56
163,"(4, 18)",0.52
164,"(4, 19)",0.47
165,"(4, 20)",0.52
166,"(4, 21)",0.66
167,"(4, 22)",0.68
168,"(4, 23)",0.66
169,"(4, 24)",0.65
170,"(4, 25)",0.63
171,"(4, 26)",0.62
172,"(4, 27)",0.66
173,"(4, 28)",0.51
174,"(4, 29)",0.56
175,"(4, 30)",0.51
176,"(4, 31)",0.55
177,"(4, 32)",0.57
178,"(4, 33)",0.56
179,"(4, 34)",0.58
180,"(4, 35)",0.53
181,"(4, 36)",0.55
182,"(4, 37)",0.66
183,"(4, 38)",0.65
184,"(4, 39)",0.39
185,"(5, 6)",0.37
186,"(5, 7)",0.67
187,"(5, 8)",0.52
188,"(5, 9)",0.55
189,"(5, 10)",0.48
190,"(5, 11)",0.49
191,"(5, 12)",0.45
192,"(5, 13)",0.47
193,"(5, 14)",0.54
194,"(5, 15)",0.52
