,Sample combination,Jaccard_similarity_value
0,"(0, 1)",0.03
1,"(0, 2)",0.02
2,"(0, 3)",0.01
3,"(0, 4)",0.03
4,"(0, 5)",0.03
5,"(0, 6)",0.03
6,"(0, 7)",0.02
7,"(0, 8)",0.02
8,"(0, 9)",0.0
9,"(0, 10)",0.02
10,"(0, 11)",0.02
11,"(0, 12)",0.01
12,"(0, 13)",0.03
13,"(0, 14)",0.02
14,"(0, 15)",0.02
15,"(0, 16)",0.01
16,"(0, 17)",0.01
17,"(0, 18)",0.02
18,"(0, 19)",0.02
19,"(0, 20)",0.03
20,"(0, 21)",0.02
21,"(0, 22)",0.03
22,"(0, 23)",0.02
23,"(0, 24)",0.01
24,"(0, 25)",0.01
25,"(0, 26)",0.02
26,"(0, 27)",0.02
27,"(0, 28)",0.0
28,"(0, 29)",0.01
29,"(0, 30)",0.0
30,"(0, 31)",0.0
31,"(0, 32)",0.02
32,"(0, 33)",0.01
33,"(0, 34)",0.03
34,"(0, 35)",0.02
35,"(0, 36)",0.0
36,"(0, 37)",0.03
37,"(0, 38)",0.02
38,"(0, 39)",0.03
39,"(1, 2)",0.01
40,"(1, 3)",0.03
41,"(1, 4)",0.02
42,"(1, 5)",0.02
43,"(1, 6)",0.0
44,"(1, 7)",0.01
45,"(1, 8)",0.01
46,"(1, 9)",0.03
47,"(1, 10)",0.01
48,"(1, 11)",0.01
49,"(1, 12)",0.02
50,"(1, 13)",0.02
51,"(1, 14)",0.01
52,"(1, 15)",0.01
53,"(1, 16)",0.02
54,"(1, 17)",0.02
55,"(1, 18)",0.03
56,"(1, 19)",0.03
57,"(1, 20)",0.01
58,"(1, 21)",0.03
59,"(1, 22)",0.03
60,"(1, 23)",0.03
61,"(1, 24)",0.03
62,"(1, 25)",0.03
63,"(1, 26)",0.03
64,"(1, 27)",0.01
65,"(1, 28)",0.03
66,"(1, 29)",0.02
67,"(1, 30)",0.03
68,"(1, 31)",0.03
69,"(1, 32)",0.03
70,"(1, 33)",0.02
71,"(1, 34)",0.02
72,"(1, 35)",0.03
73,"(1, 36)",0.03
74,"(1, 37)",0.0
75,"(1, 38)",0.01
76,"(1, 39)",0.02
77,"(2, 3)",0.03
78,"(2, 4)",0.03
79,"(2, 5)",0.01
80,"(2, 6)",0.01
81,"(2, 7)",0.0
82,"(2, 8)",0.02
83,"(2, 9)",0.02
84,"(2, 10)",0.0
85,"(2, 11)",0.0
86,"(2, 12)",0.01
87,"(2, 13)",0.01
88,"(2, 14)",0.0
89,"(2, 15)",0.0
90,"(2, 16)",0.01
91,"(2, 17)",0.01
92,"(2, 18)",0.02
93,"(2, 19)",0.02
94,"(2, 20)",0.02
95,"(2, 21)",0.02
96,"(2, 22)",0.02
97,"(2, 23)",0.03
98,"(2, 24)",0.03
99,"(2, 25)",0.03
100,"(2, 26)",0.03
101,"(2, 27)",0.0
102,"(2, 28)",0.02
103,"(2, 29)",0.01
104,"(2, 30)",0.02
105,"(2, 31)",0.02
106,"(2, 32)",0.02
107,"(2, 33)",0.01
108,"(2, 34)",0.03
109,"(2, 35)",0.02
110,"(2, 36)",0.02
111,"(2, 37)",0.01
112,"(2, 38)",0.0
113,"(2, 39)",0.01
114,"(3, 4)",0.03
115,"(3, 5)",0.03
116,"(3, 6)",0.03
117,"(3, 7)",0.03
118,"(3, 8)",0.03
119,"(3, 9)",0.01
120,"(3, 10)",0.03
121,"(3, 11)",0.03
122,"(3, 12)",0.02
123,"(3, 13)",0.03
124,"(3, 14)",0.03
125,"(3, 15)",0.03
126,"(3, 16)",0.02
127,"(3, 17)",0.02
128,"(3, 18)",0.03
129,"(3, 19)",0.03
130,"(3, 20)",0.04
131,"(3, 21)",0.03
132,"(3, 22)",0.03
133,"(3, 23)",0.03
134,"(3, 24)",0.02
135,"(3, 25)",0.02
136,"(3, 26)",0.03
137,"(3, 27)",0.03
138,"(3, 28)",0.01
139,"(3, 29)",0.02
140,"(3, 30)",0.01
141,"(3, 31)",0.01
142,"(3, 32)",0.01
143,"(3, 33)",0.02
144,"(3, 34)",0.03
145,"(3, 35)",0.03
146,"(3, 36)",0.01
147,"(3, 37)",0.03
148,"(3, 38)",0.03
149,"(3, 39)",0.03
150,"(4, 5)",0.02
151,"(4, 6)",0.02
152,"(4, 7)",0.03
153,"(4, 8)",0.03
154,"(4, 9)",0.03
155,"(4, 10)",0.03
156,"(4, 11)",0.03
157,"(4, 12)",0.03
158,"(4, 13)",0.02
159,"(4, 14)",0.03
160,"(4, 15)",0.03
161,"(4, 16)",0.02
162,"(4, 17)",0.02
163,"(4, 18)",0.03
164,"(4, 19)",0.01
165,"(4, 20)",0.01
166,"(4, 21)",0.01
167,"(4, 22)",0.03
168,"(4, 23)",0.01
169,"(4, 24)",0.02
170,"(4, 25)",0.02
171,"(4, 26)",0.01
172,"(4, 27)",0.03
173,"(4, 28)",0.03
174,"(4, 29)",0.03
175,"(4, 30)",0.03
176,"(4, 31)",0.03
177,"(4, 32)",0.04
178,"(4, 33)",0.03
179,"(4, 34)",0.0
180,"(4, 35)",0.03
181,"(4, 36)",0.03
182,"(4, 37)",0.02
183,"(4, 38)",0.03
