,Sample combination,Bray_curtis_value
0,"(0, 1)",0.03
1,"(0, 2)",0.03
2,"(0, 3)",0.03
3,"(0, 4)",0.02
4,"(0, 5)",0.02
5,"(0, 6)",0.02
6,"(0, 7)",0.06
7,"(0, 8)",0.01
8,"(0, 9)",0.01
9,"(0, 10)",0.02
10,"(0, 11)",0.02
11,"(0, 12)",0.02
12,"(0, 13)",0.02
13,"(0, 14)",0.03
14,"(0, 15)",0.03
15,"(0, 16)",0.04
16,"(0, 17)",0.04
17,"(0, 18)",0.02
18,"(0, 19)",0.02
19,"(0, 20)",0.03
20,"(0, 21)",0.07
21,"(0, 22)",0.07
22,"(0, 23)",0.03
23,"(0, 24)",0.03
24,"(0, 25)",0.04
25,"(0, 26)",0.04
26,"(0, 27)",0.05
27,"(0, 28)",0.0
28,"(0, 29)",0.02
29,"(0, 30)",0.02
30,"(0, 31)",0.03
31,"(0, 32)",0.03
32,"(0, 33)",0.02
33,"(0, 34)",0.02
34,"(0, 35)",0.03
35,"(0, 36)",0.03
36,"(0, 37)",0.05
37,"(0, 38)",0.06
38,"(0, 39)",0.02
39,"(1, 2)",0.05
40,"(1, 3)",0.05
41,"(1, 4)",0.04
42,"(1, 5)",0.04
43,"(1, 6)",0.04
44,"(1, 7)",0.04
45,"(1, 8)",0.03
46,"(1, 9)",0.03
47,"(1, 10)",0.04
48,"(1, 11)",0.04
49,"(1, 12)",0.04
50,"(1, 13)",0.04
51,"(1, 14)",0.05
52,"(1, 15)",0.05
53,"(1, 16)",0.06
54,"(1, 17)",0.06
55,"(1, 18)",0.04
56,"(1, 19)",0.04
57,"(1, 20)",0.0
58,"(1, 21)",0.05
59,"(1, 22)",0.05
60,"(1, 23)",0.05
61,"(1, 24)",0.05
62,"(1, 25)",0.06
63,"(1, 26)",0.06
64,"(1, 27)",0.04
65,"(1, 28)",0.03
66,"(1, 29)",0.04
67,"(1, 30)",0.04
68,"(1, 31)",0.03
69,"(1, 32)",0.03
70,"(1, 33)",0.03
71,"(1, 34)",0.03
72,"(1, 35)",0.05
73,"(1, 36)",0.05
74,"(1, 37)",0.04
75,"(1, 38)",0.05
76,"(1, 39)",0.04
77,"(2, 3)",0.0
78,"(2, 4)",0.02
79,"(2, 5)",0.02
80,"(2, 6)",0.03
81,"(2, 7)",0.07
82,"(2, 8)",0.03
83,"(2, 9)",0.03
84,"(2, 10)",0.02
85,"(2, 11)",0.02
86,"(2, 12)",0.02
87,"(2, 13)",0.02
88,"(2, 14)",0.01
89,"(2, 15)",0.01
90,"(2, 16)",0.03
91,"(2, 17)",0.03
92,"(2, 18)",0.03
93,"(2, 19)",0.03
94,"(2, 20)",0.05
95,"(2, 21)",0.08
96,"(2, 22)",0.07
97,"(2, 23)",0.03
