,Sample combination,Bray_curtis_value
0,"(0, 1)",0.36
1,"(0, 2)",0.4
2,"(0, 3)",0.39
3,"(0, 4)",0.38
4,"(0, 5)",0.38
5,"(0, 6)",0.51
6,"(0, 7)",0.48
7,"(0, 8)",0.37
8,"(0, 9)",0.36
9,"(0, 10)",0.28
10,"(0, 11)",0.27
11,"(0, 12)",0.28
12,"(0, 13)",0.28
13,"(0, 14)",0.34
14,"(0, 15)",0.33
15,"(0, 16)",0.24
16,"(0, 17)",0.26
17,"(0, 18)",0.37
18,"(0, 19)",0.37
19,"(0, 20)",0.35
20,"(0, 21)",0.34
21,"(0, 22)",0.34
22,"(0, 23)",0.65
23,"(0, 24)",0.66
24,"(0, 25)",0.57
25,"(0, 26)",0.57
26,"(0, 27)",0.48
27,"(0, 28)",0.04
28,"(0, 29)",0.07
29,"(0, 30)",0.09
30,"(0, 31)",0.3
31,"(0, 32)",0.31
32,"(0, 33)",0.39
33,"(0, 34)",0.39
34,"(0, 35)",0.33
35,"(0, 36)",0.34
36,"(0, 37)",0.48
37,"(0, 38)",0.48
38,"(0, 39)",0.5
39,"(1, 2)",0.66
40,"(1, 3)",0.65
41,"(1, 4)",0.61
42,"(1, 5)",0.61
43,"(1, 6)",0.77
44,"(1, 7)",0.76
45,"(1, 8)",0.34
46,"(1, 9)",0.33
47,"(1, 10)",0.53
48,"(1, 11)",0.52
49,"(1, 12)",0.53
50,"(1, 13)",0.53
51,"(1, 14)",0.6
52,"(1, 15)",0.59
53,"(1, 16)",0.46
54,"(1, 17)",0.41
55,"(1, 18)",0.29
56,"(1, 19)",0.27
57,"(1, 20)",0.06
58,"(1, 21)",0.37
59,"(1, 22)",0.38
60,"(1, 23)",0.68
61,"(1, 24)",0.68
62,"(1, 25)",0.66
63,"(1, 26)",0.68
64,"(1, 27)",0.76
65,"(1, 28)",0.39
66,"(1, 29)",0.35
67,"(1, 30)",0.38
68,"(1, 31)",0.26
69,"(1, 32)",0.26
70,"(1, 33)",0.35
71,"(1, 34)",0.36
72,"(1, 35)",0.22
73,"(1, 36)",0.22
74,"(1, 37)",0.76
75,"(1, 38)",0.77
76,"(1, 39)",0.77
77,"(2, 3)",0.03
78,"(2, 4)",0.21
79,"(2, 5)",0.21
80,"(2, 6)",0.19
81,"(2, 7)",0.35
82,"(2, 8)",0.65
83,"(2, 9)",0.65
84,"(2, 10)",0.2
85,"(2, 11)",0.21
86,"(2, 12)",0.2
87,"(2, 13)",0.21
88,"(2, 14)",0.22
89,"(2, 15)",0.24
90,"(2, 16)",0.36
91,"(2, 17)",0.38
92,"(2, 18)",0.65
93,"(2, 19)",0.65
94,"(2, 20)",0.67
95,"(2, 21)",0.58
96,"(2, 22)",0.59
97,"(2, 23)",0.78
98,"(2, 24)",0.78
99,"(2, 25)",0.69
100,"(2, 26)",0.69
101,"(2, 27)",0.33
102,"(2, 28)",0.4
103,"(2, 29)",0.37
104,"(2, 30)",0.35
105,"(2, 31)",0.59
106,"(2, 32)",0.59
107,"(2, 33)",0.68
108,"(2, 34)",0.69
109,"(2, 35)",0.61
110,"(2, 36)",0.62
111,"(2, 37)",0.34
112,"(2, 38)",0.35
113,"(2, 39)",0.19
114,"(3, 4)",0.21
115,"(3, 5)",0.21
116,"(3, 6)",0.21
117,"(3, 7)",0.34
118,"(3, 8)",0.64
119,"(3, 9)",0.64
120,"(3, 10)",0.19
121,"(3, 11)",0.2
122,"(3, 12)",0.2
123,"(3, 13)",0.21
124,"(3, 14)",0.22
125,"(3, 15)",0.23
126,"(3, 16)",0.36
127,"(3, 17)",0.37
128,"(3, 18)",0.63
129,"(3, 19)",0.63
130,"(3, 20)",0.65
131,"(3, 21)",0.57
132,"(3, 22)",0.58
133,"(3, 23)",0.77
134,"(3, 24)",0.77
135,"(3, 25)",0.68
136,"(3, 26)",0.68
137,"(3, 27)",0.33
138,"(3, 28)",0.39
139,"(3, 29)",0.36
140,"(3, 30)",0.34
141,"(3, 31)",0.57
142,"(3, 32)",0.57
143,"(3, 33)",0.67
144,"(3, 34)",0.68
145,"(3, 35)",0.59
146,"(3, 36)",0.6
147,"(3, 37)",0.34
148,"(3, 38)",0.34
149,"(3, 39)",0.2
150,"(4, 5)",0.02
151,"(4, 6)",0.17
152,"(4, 7)",0.43
153,"(4, 8)",0.64
154,"(4, 9)",0.64
155,"(4, 10)",0.21
