,Sufflavibacter_maritimus,Ruminococcus_gnavus,Bacteroides_eggerthii,Veillonella_dispar,Prevotella_nanceiensis,Prevotella_copri,Serratia_symbiotica,Blautia_obeum,Krokinobacter_genikus,Veillonella_parvula,Clostridium_ljungdahlii,Clostridium_intestinale,Haemophilus_parainfluenzae,Clostridium_difficile,Megamonas_hypermegale,Roseburia_faecis,Coprococcus_catus,Prevotella_melaninogenica,Papillibacter_cinnamivorans,Akkermansia_muciniphila,Eggerthella_lenta,Clostridium_perfringens,Bacteroides_fragilis,Bacteroides_plebeius,Blautia_producta,Collinsella_aerofaciens,Propionibacterium_acnes,Oscillospira_guilliermondii,Bacteroides_caccae,Coprococcus_eutactus,Bacteroides_uniformis,Coprobacillus_cateniformis,Desulfovibrio_vulgaris,Bifidobacterium_pseudolongum,Bacteroides_acidifaciens,Bifidobacterium_adolescentis,Ruminococcus_flavefaciens,Atopobium_vaginae,Parabacteroides_distasonis,Dorea_formicigenerans,Ruminococcus_callidus,Bifidobacterium_bifidum,Eubacterium_dolichum,Clostridium_methylpentosum,Hafnia_alvei,Klebsiella_oxytoca,Clostridium_fimetarium,Lachnospira_pectinoschiza,Ruminococcus_torques,Prevotella_stercorea,Shuttleworthia_satelles,Bacteroides_ovatus,Bifidobacterium_longum,Barnesiella_viscericola,Faecalibacterium_prausnitzii,Marvinbryantia_formatexigens,Collinsella_stercoris,Janthinobacterium_lividum,Enterobacter_pyrinus,Bifidobacterium_breve,Eubacterium_biforme,Succinispira_mobilis,Bacteroides_coprosuis,Clostridium_saccharogumia,Parabacteroides_gordonii,Streptococcus_infantis,Lactobacillus_mucosae,Ruminococcus_bromii,Ruminococcus_albus,Clostridium_cocleatum,Enterobacter_cloacae,Clostridium_ruminantium,Butyricicoccus_pullicaecorum,Morganella_morganii,Streptococcus_equi,Bacteroides_coprophilus,Clostridium_gasigenes,Desulfosporosinus_meridiei,Streptococcus_luteciae,Staphylococcus_succinus,Staphylococcus_aureus,Corynebacterium_durum,Bacillus_ginsengihumi,Actinobacillus_parahaemolyticus,Alistipes_indistinctus,Lactobacillus_zeae,Alkaliphilus_transvaalensis,Bacteroides_barnesiae,Eubacterium_cylindroides,Syntrophococcus_sucromutans,Succinatimonas_hippei,Bacillus_coahuilensis,Alistipes_massiliensis,Peptostreptococcus_anaerobius,Clostridium_colinum,Rothia_mucilaginosa,Bifidobacterium_animalis,Chlorobium_chlorochromatii,Macrococcus_caseolyticus,Robinsoniella_peoriensis,Sporobacter_termitidis,Clostridium_metallolevans,gut_metagenome,Catenibacterium_mitsuokai,Citrullus_lanatus,Cronobacter_turicensis,Victoria_amazonica,Clostridium_butyricum,Bacillus_flexus,Jeotgalicoccus_psychrophilus,Prauserella_rugosa,Ruminofilibacter_xylanolyticum,Lactobacillus_reuteri,Streptococcus_minor,Melissococcus_plutonius,Lactobacillus_brevis,Olivibacter_sitiensis,Clostridium_celatum,Clostridium_acidurici,Streptococcus_anginosus,Bacillus_asahii,Kocuria_palustris,Prevotella_nigrescens,Bacteroides_nordii,Clostridium_hiranonis,Porphyromonas_endodontalis,Bulleidia_moorei,Rhodococcus_equi,Salmonella_enterica,Gloeobacter_violaceus,Lactobacillus_vaginalis,Massilia_aerolata,Salinispora_tropica,Victivallis_vadensis,Lactobacillus_coleohominis,Bulleidia_p-1630-c5,Clostridium_cellulovorans,Desulfovibrio_D168,Atopobium_rimae,Brackiella_oedipodis,Clostridium_maritimum,Lactobacillus_iners,Clostridium_tetani,Streptomyces_mirabilis,Erwinia_dispersa,Bacillus_humi,Serratia_marcescens,Litorilinea_aerophila,Hespellia_stercorisuis,Campylobacter_ureolyticus,Thermobaculum_terrenum,Cellulosibacter_alkalithermophilus,Xenorhabdus_bovienii,Aggregatibacter_pneumotropica,Oenococcus_kitaharae,Aggregatibacter_segnis,Bacillus_muralis,Haloplasma_contractile,Plesiomonas_shigelloides,Caldicellulosiruptor_saccharolyticus,Enterococcus_haemoperoxidus,Enterobacter_arachidis,Pseudomonas_alcaligenes,Moryella_indoligenes,Haemophilus_parasuis,Lysinibacillus_boronitolerans,Proteiniborus_ethanoligenes,Zamia_integrifolia,Thiopilula_aggregata,Xenorhabdus_budapestensis,Escherichia_blattae,Cronobacter_sakazakii,Enterobacter_aerogenes,Pseudoalteromonas_porphyrae,Clostridium_hungatei,Enterococcus_casseliflavus,Enterobacter_hormaechei,Samsonia_erythrinae,Brenneria_salicis,Citrobacter_freundii,Buchnera_aphidicola,Shigella_sonnei,Aquamonas_haywardensis,Trabulsiella_farmeri,Clostridium_sardiniense,Shewanella_benthica,Clostridium_tyrobutyricum,Enterobacter_cowanii,Enterococcus_cecorum,Salinivibrio_costicola,Baumannia_cicadellinicola,Erwinia_oleae,Alcanivorax_venustensis,Pragia_fontium,Raoultella_terrigena,Xenorhabdus_nematophila,Photorhabdus_temperata,Xenorhabdus_poinarii,Escherichia_coli,Erwinia_chrysanthemi,Pantoea_agglomerans,Gluconacetobacter_liquefaciens,Serratia_rubidaea,Pseudoxanthomonas_mexicana,Enterobacter_ludwigii,Shewanella_pacifica,Acinetobacter_rhizosphaerae,Enterobacter_radicincitans,Xenorhabdus_romanii,Desulfovibrio_C21+c20,Necropsobacter_rosorum,Methanobrevibacter_arboriphilus,Kleidoceria_schneideri,Desulfovibrio_litoralis,Synechococcus_elongatus,Halanaerobium_hydrogeniformans,Rhodospirillum_rubrum,Variovorax_paradoxus,Jonquetella_anthropi,Alicyclobacillus_pomorum,Haemophilus_felis,Pseudomonas_viridiflava,Acetonema_longum,Alcaligenes_faecalis,Gallibacterium_genomosp.,Neisseria_cinerea,Ruminococcus_gauvreauii,Nitritalea_halalkaliphila,Selenomonas_noxia,Clostridium_neonatale,Aquincola_tertiaricarbonis,Haemophilus_influenzae,Streptococcus_sobrinus
0,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,False,True,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,False,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
