,Sufflavibacter_maritimus,Ruminococcus_gnavus,Bacteroides_eggerthii,Veillonella_dispar,Prevotella_nanceiensis,Prevotella_copri,Serratia_symbiotica,Blautia_obeum,Krokinobacter_genikus,Veillonella_parvula,Clostridium_ljungdahlii,Clostridium_intestinale,Haemophilus_parainfluenzae,Clostridium_difficile,Megamonas_hypermegale,Roseburia_faecis,Coprococcus_catus,Prevotella_melaninogenica,Papillibacter_cinnamivorans,Akkermansia_muciniphila,Eggerthella_lenta,Clostridium_perfringens,Bacteroides_fragilis,Bacteroides_plebeius,Blautia_producta,Collinsella_aerofaciens,Propionibacterium_acnes,Oscillospira_guilliermondii,Bacteroides_caccae,Coprococcus_eutactus,Bacteroides_uniformis,Coprobacillus_cateniformis,Desulfovibrio_vulgaris,Bifidobacterium_pseudolongum,Bacteroides_acidifaciens,Bifidobacterium_adolescentis,Ruminococcus_flavefaciens,Atopobium_vaginae,Parabacteroides_distasonis,Dorea_formicigenerans,Ruminococcus_callidus,Bifidobacterium_bifidum,Eubacterium_dolichum,Clostridium_methylpentosum,Hafnia_alvei,Klebsiella_oxytoca,Clostridium_fimetarium,Lachnospira_pectinoschiza,Ruminococcus_torques,Prevotella_stercorea,Shuttleworthia_satelles,Bacteroides_ovatus,Bifidobacterium_longum,Barnesiella_viscericola,Faecalibacterium_prausnitzii,Marvinbryantia_formatexigens,Collinsella_stercoris,Janthinobacterium_lividum,Enterobacter_pyrinus,Bifidobacterium_breve,Eubacterium_biforme,Succinispira_mobilis,Bacteroides_coprosuis,Clostridium_saccharogumia,Parabacteroides_gordonii,Streptococcus_infantis,Lactobacillus_mucosae,Ruminococcus_bromii,Ruminococcus_albus,Clostridium_cocleatum,Enterobacter_cloacae,Clostridium_ruminantium,Butyricicoccus_pullicaecorum,Morganella_morganii,Streptococcus_equi,Bacteroides_coprophilus,Clostridium_gasigenes,Desulfosporosinus_meridiei,Streptococcus_luteciae,Staphylococcus_succinus,Staphylococcus_aureus,Corynebacterium_durum,Bacillus_ginsengihumi,Actinobacillus_parahaemolyticus,Alistipes_indistinctus,Lactobacillus_zeae,Alkaliphilus_transvaalensis,Bacteroides_barnesiae,Eubacterium_cylindroides,Syntrophococcus_sucromutans,Succinatimonas_hippei,Bacillus_coahuilensis,Alistipes_massiliensis,Peptostreptococcus_anaerobius,Clostridium_colinum,Rothia_mucilaginosa,Bifidobacterium_animalis,Chlorobium_chlorochromatii,Macrococcus_caseolyticus,Robinsoniella_peoriensis,Sporobacter_termitidis,Clostridium_metallolevans,gut_metagenome,Catenibacterium_mitsuokai,Citrullus_lanatus,Cronobacter_turicensis,Victoria_amazonica,Clostridium_butyricum,Bacillus_flexus,Jeotgalicoccus_psychrophilus,Prauserella_rugosa,Ruminofilibacter_xylanolyticum,Lactobacillus_reuteri,Streptococcus_minor,Melissococcus_plutonius,Lactobacillus_brevis,Olivibacter_sitiensis,Clostridium_celatum,Clostridium_acidurici,Streptococcus_anginosus,Bacillus_asahii,Kocuria_palustris,Prevotella_nigrescens,Bacteroides_nordii,Clostridium_hiranonis,Porphyromonas_endodontalis,Bulleidia_moorei,Rhodococcus_equi,Salmonella_enterica,Gloeobacter_violaceus,Lactobacillus_vaginalis,Massilia_aerolata,Salinispora_tropica,Victivallis_vadensis,Lactobacillus_coleohominis,Bulleidia_p-1630-c5,Clostridium_cellulovorans,Desulfovibrio_D168,Atopobium_rimae,Brackiella_oedipodis,Clostridium_maritimum,Lactobacillus_iners,Clostridium_tetani,Streptomyces_mirabilis,Erwinia_dispersa,Bacillus_humi,Serratia_marcescens,Litorilinea_aerophila,Hespellia_stercorisuis,Campylobacter_ureolyticus,Thermobaculum_terrenum,Cellulosibacter_alkalithermophilus,Xenorhabdus_bovienii,Aggregatibacter_pneumotropica,Oenococcus_kitaharae,Aggregatibacter_segnis,Bacillus_muralis,Haloplasma_contractile,Plesiomonas_shigelloides,Caldicellulosiruptor_saccharolyticus,Enterococcus_haemoperoxidus,Enterobacter_arachidis,Pseudomonas_alcaligenes,Moryella_indoligenes,Haemophilus_parasuis,Lysinibacillus_boronitolerans,Proteiniborus_ethanoligenes,Zamia_integrifolia,Thiopilula_aggregata,Xenorhabdus_budapestensis,Escherichia_blattae,Cronobacter_sakazakii,Enterobacter_aerogenes,Pseudoalteromonas_porphyrae,Clostridium_hungatei,Enterococcus_casseliflavus,Enterobacter_hormaechei,Samsonia_erythrinae,Brenneria_salicis,Citrobacter_freundii,Buchnera_aphidicola,Shigella_sonnei,Aquamonas_haywardensis,Trabulsiella_farmeri,Clostridium_sardiniense,Shewanella_benthica,Clostridium_tyrobutyricum,Enterobacter_cowanii,Enterococcus_cecorum,Salinivibrio_costicola,Baumannia_cicadellinicola,Erwinia_oleae,Alcanivorax_venustensis,Pragia_fontium,Raoultella_terrigena,Xenorhabdus_nematophila,Photorhabdus_temperata,Xenorhabdus_poinarii,Escherichia_coli,Erwinia_chrysanthemi,Pantoea_agglomerans,Gluconacetobacter_liquefaciens,Serratia_rubidaea,Pseudoxanthomonas_mexicana,Enterobacter_ludwigii,Shewanella_pacifica,Acinetobacter_rhizosphaerae,Enterobacter_radicincitans,Xenorhabdus_romanii,Desulfovibrio_C21+c20,Necropsobacter_rosorum,Methanobrevibacter_arboriphilus,Kleidoceria_schneideri,Desulfovibrio_litoralis,Synechococcus_elongatus,Halanaerobium_hydrogeniformans,Rhodospirillum_rubrum,Variovorax_paradoxus,Jonquetella_anthropi,Alicyclobacillus_pomorum,Haemophilus_felis,Pseudomonas_viridiflava,Acetonema_longum,Alcaligenes_faecalis,Gallibacterium_genomosp.,Neisseria_cinerea,Ruminococcus_gauvreauii,Nitritalea_halalkaliphila,Selenomonas_noxia,Clostridium_neonatale,Aquincola_tertiaricarbonis,Haemophilus_influenzae,Streptococcus_sobrinus
20,,4.607886575,0.044306602,0.132919805,,5.626938414,,0.132919805,,0.354452814,,,0.26583961,,,3.14576872,,0.26583961,,1.595037661,0.177226407,,1.816570669,0.088613203,1.993797076,0.132919805,0.044306602,0.132919805,0.177226407,0.132919805,7.177669473,0.132919805,,0.044306602,1.329198051,3.012848915,0.354452814,,3.854674347,0.708905627,,0.310146212,0.443066017,0.088613203,0.088613203,,0.088613203,0.886132034,0.132919805,0.53167922,0.753212229,3.278688525,9.525919362,,40.62915374,0.044306602,,,,0.088613203,0.177226407,0.132919805,0.310146212,,3.898980948,0.044306602,,,0.132919805,0.088613203,,,,,,0.398759415,,,0.044306602,,,,,,,,,,,0.044306602,,,,,0.044306602,0.044306602,,,,,,,,,,,,,,,0.044306602,,,,,,,,,,,,,,,0.044306602,,,,0.044306602,,0.044306602,,,,,,,,,,,,0.044306602,,,,,,,,,,,,,,,,,,,,,,,,0.044306602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,1.216839677,0.207612457,0.397923875,0.011534025,15.75547866,1.239907728,0.005767013,0.005767013,0.224913495,,,0.069204152,0.444059977,,2.44521338,,0.098039216,,,0.213379469,0.005767013,0.121107266,0.213379469,0.490196078,0.005767013,0.005767013,,0.080738178,0.155709343,10.46136102,0.017301038,,0.005767013,0.634371396,0.051903114,0.190311419,,5.997693195,0.034602076,,,1.903114187,0.005767013,4.948096886,5.697808535,0.017301038,0.351787774,0.011534025,,0.103806228,1.591695502,0.444059977,,37.46828143,0.028835063,,,0.08650519,,0.023068051,,,,,,,,,0.023068051,0.426758939,,,,,,,,,,,,0.011534025,0.005767013,,0.005767013,,0.034602076,,0.011534025,,0.005767013,,0.005767013,,,0.06343714,,,0.023068051,,,,,,,,,0.005767013,,0.005767013,,,,,,,,0.005767013,,,,,,,0.011534025,,,0.005767013,,,,,,,,,,,,,0.005767013,,,1.032295271,0.005767013,2.61822376,,,,,,0.098039216,,,,,,1.113033449,,0.005767013,0.098039216,,,0.011534025,,,,0.005767013,0.005767013,0.005767013,0.023068051,0.011534025,0.074971165,0.005767013,0.005767013,0.005767013,0.034602076,0.005767013,0.017301038,0.005767013,0.005767013,0.005767013,0.034602076,0.005767013,0.017301038,0.005767013,0.011534025,0.005767013,0.005767013,0.559400231,0.005767013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,1.233170499,0.22042178,0.351483379,0.005957345,15.45335399,1.096151555,,,0.250208507,,0.011914691,0.095317527,0.488502323,,2.394852854,,0.071488145,,0.011914691,0.119146908,0.011914691,0.101274872,0.178720362,0.51828905,0.011914691,0.005957345,0.011914691,0.047658763,0.160848326,10.1811033,0.005957345,,0.011914691,0.613606577,0.053616109,0.202549744,,6.678184201,0.017872036,,,2.067198856,0.005957345,5.582032646,5.331824139,0.005957345,0.369355415,,,0.14297629,1.435720243,0.381270106,,37.19766472,0.029786727,,0.005957345,0.101274872,,0.023829382,,,0.005957345,,,,,,0.053616109,0.405099488,,,,,0.005957345,,,,,0.005957345,,0.011914691,,,,,0.023829382,,,,0.029786727,,,,,0.07744549,0.005957345,,0.023829382,,,,,,0.005957345,,,,,,0.005957345,,0.005957345,0.005957345,,,,,,0.005957345,,,,0.005957345,0.017872036,,,0.005957345,,,,,,0.005957345,,,,,,,0.023829382,,,1.108066246,0.011914691,2.34719409,,,,,,0.101274872,,,,,,1.286786608,,,0.071488145,,,0.005957345,,,,,,0.017872036,,,0.089360181,,0.005957345,0.005957345,0.029786727,,0.005957345,,0.005957345,,0.059573454,,,,0.011914691,,0.005957345,0.607649232,0.011914691,0.005957345,0.011914691,0.005957345,0.011914691,0.005957345,0.005957345,0.005957345,0.017872036,0.047658763,0.005957345,0.005957345,0.005957345,0.005957345,0.011914691,0.005957345,0.005957345,0.005957345,,,,,,,,,,,,,,,,,,,,,,,,
23,,2.670057216,0.254291163,,0.127145582,7.056579784,,,0.381436745,,,0.063572791,0.063572791,,,,,0.190718373,,6.993006993,0.063572791,0.190718373,0.826446281,0.190718373,0.190718373,0.127145582,,0.127145582,3.687221869,0.127145582,47.29815639,,0.063572791,,0.445009536,0.190718373,1.271455817,,13.54100445,,,0.063572791,,0.699300699,0.317863954,0.190718373,,0.190718373,0.381436745,0.953591863,,2.479338843,0.127145582,,4.068658614,0.063572791,,,,,,,0.063572791,,2.670057216,,,,,,0.063572791,,,,,,,,,,,,,,0.127145582,,,,0.063572791,0.063572791,,,,,,,,,,,,,,,,,,,,,,0.063572791,,,,,,0.127145582,,,,,,0.063572791,,0.190718373,,,,,,,,0.063572791,,,,0.063572791,,,,,,,0.063572791,,0.063572791,,,,,,0.190718373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063572791,,,,,,,,,,0.063572791,,,,,,,,,,,,,,,,0.063572791,0.063572791,0.127145582,,,,,,,,,,,,,,,,,,,,,
24,,3.170731707,0.182926829,,,6.951219512,,0.06097561,0.609756098,,,0.06097561,0.304878049,,,0.06097561,,0.182926829,,6.890243902,,0.365853659,0.792682927,0.06097561,0.243902439,0.182926829,,0.182926829,2.62195122,0.12195122,50.12195122,0.06097561,,,0.243902439,0.06097561,0.304878049,,12.74390244,0.06097561,,,,0.853658537,0.365853659,0.182926829,,0.12195122,0.426829268,1.036585366,0.182926829,1.585365854,,,4.085365854,,,,,,,,,,3.048780488,,,,,,,,,,,,,,,,,,,0.06097561,0.06097561,,,,,,,,0.182926829,,0.06097561,,,,,0.06097561,,,0.06097561,,,,,,,,,0.12195122,,,,,,0.304878049,,,,,,,,0.06097561,,,,,,,,0.06097561,,,,,,,,,,,0.12195122,,,,,,,,,,,,,,0.06097561,,,,0.06097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06097561,,,,,,,,,,,,,,,,,,,,,,0.06097561,0.06097561,,,,,,,,,,,,,,,,,,,
25,,4.526748971,0.308641975,0.068587106,,12.03703704,,0.205761317,0.342935528,0.068587106,,0.068587106,0.308641975,0.137174211,,0.034293553,,0.205761317,,16.08367627,,0.171467764,0.617283951,0.034293553,0.754458162,0.205761317,,0.24005487,2.846364883,0.068587106,33.77914952,,0.068587106,,0.137174211,0.034293553,0.445816187,0.034293553,11.5569273,0.274348423,,0.068587106,0.102880658,1.09739369,0.754458162,,,0.068587106,0.205761317,0.925925926,0.068587106,2.126200274,0.24005487,,5.692729767,0.068587106,0.034293553,0.034293553,0.034293553,,0.034293553,,0.034293553,0.034293553,1.371742113,,,,,,0.034293553,,,,,,,,,,,,,0.034293553,,,0.034293553,0.068587106,,0.068587106,,0.068587106,0.068587106,,,,,,,0.034293553,,,,,,,,,,,,,,,,,,0.24005487,,,,,0.068587106,,,0.068587106,,,,,,,,0.137174211,,,,,,,0.034293553,,,,0.068587106,,,,0.034293553,,,,,,,,,,0.034293553,,,,,0.034293553,0.034293553,,,,,,,,,,,,,,,0.034293553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034293553,,,0.068587106,,0.034293553,,,,,,,,,,,,,,,,,,
26,0.110782866,4.062038405,0.369276219,0.073855244,,13.40472674,,0.036927622,0.332348597,,,0.110782866,0.221565731,0.036927622,,,,0.073855244,,14.06942393,,0.147710487,0.738552437,0.110782866,0.516986706,0.184638109,,0.184638109,2.289512555,0.221565731,36.59527326,,0.036927622,,0.258493353,,1.070901034,,12.51846381,0.073855244,,0.036927622,0.036927622,0.960118168,0.295420975,0.036927622,,0.073855244,0.258493353,0.812407681,,1.698670606,0.073855244,,5.280649926,,,,,,,,0.036927622,0.036927622,1.477104874,,,,,,0.073855244,,,,,,,0.036927622,,,,,0.036927622,,,,,,,0.073855244,,,,,,,,,,,,,0.036927622,,,,,0.073855244,,,,,,,,,,0.221565731,,,,,,,,0.073855244,,,,,,,,0.147710487,,0.036927622,,,,,,,,,0.036927622,,,,,,,,,0.036927622,,,0.036927622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036927622,,,,,,,,,,,,,,,,,,,,,,0.036927622,,,0.036927622,,,,,,,,,,,,,,,,,
27,,0.661455201,0.012026458,0.312687913,0.024052916,58.59290439,,0.024052916,,0.33674083,,0.012026458,0.372820204,0.060132291,,0.084185208,,0.108238124,,,,0.012026458,0.20444979,0.228502706,0.541190619,0.156343957,,,0.33674083,,11.01623572,,,,0.432952496,,,,20.91401082,0.048105833,,,0.012026458,,,,,0.060132291,0.036079375,,0.012026458,4.870715574,,,0.168370415,0.012026458,0.012026458,0.012026458,,0.012026458,,,0.012026458,,0.060132291,,,,,,,,,,,0.012026458,0.012026458,,,,,,,0.012026458,,,,0.168370415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012026458,,,,,,,,,0.012026458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,2.730046571,0.578127509,0.096354585,0.032118195,27.65376586,,1.445318773,,0.06423639,0.032118195,,0.144531877,0.06423639,0.289063755,2.890637546,0.12847278,0.417536534,,0.305122852,,0.048177292,0.080295487,0.337241047,1.140195921,1.059900434,,0.06423639,2.071623575,1.670146138,8.848562711,0.096354585,0.016059098,0.016059098,0.224827365,1.638027943,0.899309459,0.06423639,3.870242492,0.786895777,0.016059098,0.112413682,,0.915368556,,,0.016059098,1.381082383,0.160590975,0.497832022,0.337241047,7.001766501,0.417536534,0.032118195,28.89031636,,0.032118195,0.032118195,,,0.016059098,,0.016059098,,0.016059098,,,,,,,,,,,0.080295487,,,,,,,,0.016059098,,,,,,0.096354585,,,,,,,,,,,,,,,,,,,,,0.016059098,,,,,,0.016059098,,,0.016059098,,,,,0.016059098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016059098,0.016059098,0.016059098,,,,,,,,,,,,,,
29,0.047973135,3.070280643,0.335811945,0.263852243,0.143919405,29.62341089,,0.647637323,,0.047973135,,0.023986568,0.19189254,,0.047973135,3.717917966,0.119932838,1.079395539,,0.215879108,,,0.071959703,0.311825378,0.551691053,0.743583593,,0.023986568,1.631086592,0.647637323,6.860158311,0.119932838,0.047973135,,0.047973135,2.8064284,0.719597026,,2.974334373,0.599664188,,0.119932838,0.047973135,1.607100024,0.023986568,0.023986568,,0.599664188,0.143919405,0.647637323,0.263852243,5.900695611,0.983449268,,31.54233629,,,,,,0.047973135,,0.023986568,,,,,0.047973135,,,,,,,,,,,,,,,,0.023986568,,,,0.023986568,,,,,,,0.023986568,,,0.023986568,,,0.023986568,,0.023986568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023986568,,,,,,0.023986568,,,,,,,0.023986568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023986568,,,,,,,,,,,,,
