,type,id,attributes.accession,attributes.count,attributes.description,attributes.lineage,links.self,Sample_id,attributes.relative_abundance
0,go-terms,GO:0030031,GO:0030031,11,cell projection assembly,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0030031,MGYA00005291,8.77949e-05
1,go-terms,GO:0071554,GO:0071554,9212,cell wall organization or biogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071554,MGYA00005291,0.0735242239
2,go-terms,GO:0016043,GO:0016043,34291,cellular component organization,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016043,MGYA00005291,0.2736885759
3,go-terms,GO:0051301,GO:0051301,11699,cell division,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051301,MGYA00005291,0.0933738488
4,go-terms,GO:0016049,GO:0016049,0,cell growth,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016049,MGYA00005291,0.0
5,go-terms,GO:0048870,GO:0048870,4091,cell motility,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0048870,MGYA00005291,0.0326517151
6,go-terms,GO:0032196,GO:0032196,35232,transposition,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0032196,MGYA00005291,0.2811990291
7,go-terms,GO:0006811,GO:0006811,116693,ion transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006811,MGYA00005291,0.9313680263
8,go-terms,GO:0009306,GO:0009306,5266,protein secretion,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009306,MGYA00005291,0.0420298049
9,go-terms,GO:0006810,GO:0006810,495994,transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006810,MGYA00005291,3.9587032025
10,go-terms,GO:0046034,GO:0046034,16173,ATP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046034,MGYA00005291,0.1290824222
11,go-terms,GO:0009058,GO:0009058,840871,biosynthetic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009058,MGYA00005291,6.711288283
12,go-terms,GO:0005975,GO:0005975,508978,carbohydrate metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005975,MGYA00005291,4.06233309
13,go-terms,GO:0009056,GO:0009056,86554,catabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009056,MGYA00005291,0.690818028
14,go-terms,GO:0006520,GO:0006520,241622,cellular amino acid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006520,MGYA00005291,1.9284704759
15,go-terms,GO:0045333,GO:0045333,1814,cellular respiration,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0045333,MGYA00005291,0.0144781744
16,go-terms,GO:0051186,GO:0051186,76612,cofactor metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051186,MGYA00005291,0.6114674164
17,go-terms,GO:0006259,GO:0006259,284780,DNA metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006259,MGYA00005291,2.2729297089
18,go-terms,GO:0022900,GO:0022900,1107,electron transport chain,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0022900,MGYA00005291,0.0088353578
19,go-terms,GO:0006091,GO:0006091,44086,generation of precursor metabolites and energy,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006091,MGYA00005291,0.3518659286
20,go-terms,GO:0046039,GO:0046039,989,GTP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046039,MGYA00005291,0.0078935581
