,Sufflavibacter_maritimus,Ruminococcus_gnavus,Bacteroides_eggerthii,Veillonella_dispar,Prevotella_nanceiensis,Prevotella_copri,Serratia_symbiotica,Blautia_obeum,Krokinobacter_genikus,Veillonella_parvula,Clostridium_ljungdahlii,Clostridium_intestinale,Haemophilus_parainfluenzae,Clostridium_difficile,Megamonas_hypermegale,Roseburia_faecis,Coprococcus_catus,Prevotella_melaninogenica,Papillibacter_cinnamivorans,Akkermansia_muciniphila,Eggerthella_lenta,Clostridium_perfringens,Bacteroides_fragilis,Bacteroides_plebeius,Blautia_producta,Collinsella_aerofaciens,Propionibacterium_acnes,Oscillospira_guilliermondii,Bacteroides_caccae,Coprococcus_eutactus,Bacteroides_uniformis,Coprobacillus_cateniformis,Desulfovibrio_vulgaris,Bifidobacterium_pseudolongum,Bacteroides_acidifaciens,Bifidobacterium_adolescentis,Ruminococcus_flavefaciens,Atopobium_vaginae,Parabacteroides_distasonis,Dorea_formicigenerans,Ruminococcus_callidus,Bifidobacterium_bifidum,Eubacterium_dolichum,Clostridium_methylpentosum,Hafnia_alvei,Klebsiella_oxytoca,Clostridium_fimetarium,Lachnospira_pectinoschiza,Ruminococcus_torques,Prevotella_stercorea,Shuttleworthia_satelles,Bacteroides_ovatus,Bifidobacterium_longum,Barnesiella_viscericola,Faecalibacterium_prausnitzii,Marvinbryantia_formatexigens,Collinsella_stercoris,Janthinobacterium_lividum,Enterobacter_pyrinus,Bifidobacterium_breve,Eubacterium_biforme,Succinispira_mobilis,Bacteroides_coprosuis,Clostridium_saccharogumia,Parabacteroides_gordonii,Streptococcus_infantis,Lactobacillus_mucosae,Ruminococcus_bromii,Ruminococcus_albus,Clostridium_cocleatum,Enterobacter_cloacae,Clostridium_ruminantium,Butyricicoccus_pullicaecorum,Morganella_morganii,Streptococcus_equi,Bacteroides_coprophilus,Clostridium_gasigenes,Desulfosporosinus_meridiei,Streptococcus_luteciae,Staphylococcus_succinus,Staphylococcus_aureus,Corynebacterium_durum,Bacillus_ginsengihumi,Actinobacillus_parahaemolyticus,Alistipes_indistinctus,Lactobacillus_zeae,Alkaliphilus_transvaalensis,Bacteroides_barnesiae,Eubacterium_cylindroides,Syntrophococcus_sucromutans,Succinatimonas_hippei,Bacillus_coahuilensis,Alistipes_massiliensis,Peptostreptococcus_anaerobius,Clostridium_colinum,Rothia_mucilaginosa,Bifidobacterium_animalis,Chlorobium_chlorochromatii,Macrococcus_caseolyticus,Robinsoniella_peoriensis,Sporobacter_termitidis,Clostridium_metallolevans,gut_metagenome,Catenibacterium_mitsuokai,Citrullus_lanatus,Cronobacter_turicensis,Victoria_amazonica,Clostridium_butyricum,Bacillus_flexus,Jeotgalicoccus_psychrophilus,Prauserella_rugosa,Ruminofilibacter_xylanolyticum,Lactobacillus_reuteri,Streptococcus_minor,Melissococcus_plutonius,Lactobacillus_brevis,Olivibacter_sitiensis,Clostridium_celatum,Clostridium_acidurici,Streptococcus_anginosus,Bacillus_asahii,Kocuria_palustris,Prevotella_nigrescens,Bacteroides_nordii,Clostridium_hiranonis,Porphyromonas_endodontalis,Bulleidia_moorei,Rhodococcus_equi,Salmonella_enterica,Gloeobacter_violaceus,Lactobacillus_vaginalis,Massilia_aerolata,Salinispora_tropica,Victivallis_vadensis,Lactobacillus_coleohominis,Bulleidia_p-1630-c5,Clostridium_cellulovorans,Desulfovibrio_D168,Atopobium_rimae,Brackiella_oedipodis,Clostridium_maritimum,Lactobacillus_iners,Clostridium_tetani,Streptomyces_mirabilis,Erwinia_dispersa,Bacillus_humi,Serratia_marcescens,Litorilinea_aerophila,Hespellia_stercorisuis,Campylobacter_ureolyticus,Thermobaculum_terrenum,Cellulosibacter_alkalithermophilus,Xenorhabdus_bovienii,Aggregatibacter_pneumotropica,Oenococcus_kitaharae,Aggregatibacter_segnis,Bacillus_muralis,Haloplasma_contractile,Plesiomonas_shigelloides,Caldicellulosiruptor_saccharolyticus,Enterococcus_haemoperoxidus,Enterobacter_arachidis,Pseudomonas_alcaligenes,Moryella_indoligenes,Haemophilus_parasuis,Lysinibacillus_boronitolerans,Proteiniborus_ethanoligenes,Zamia_integrifolia,Thiopilula_aggregata,Xenorhabdus_budapestensis,Escherichia_blattae,Cronobacter_sakazakii,Enterobacter_aerogenes,Pseudoalteromonas_porphyrae,Clostridium_hungatei,Enterococcus_casseliflavus,Enterobacter_hormaechei,Samsonia_erythrinae,Brenneria_salicis,Citrobacter_freundii,Buchnera_aphidicola,Shigella_sonnei,Aquamonas_haywardensis,Trabulsiella_farmeri,Clostridium_sardiniense,Shewanella_benthica,Clostridium_tyrobutyricum,Enterobacter_cowanii,Enterococcus_cecorum,Salinivibrio_costicola,Baumannia_cicadellinicola,Erwinia_oleae,Alcanivorax_venustensis,Pragia_fontium,Raoultella_terrigena,Xenorhabdus_nematophila,Photorhabdus_temperata,Xenorhabdus_poinarii,Escherichia_coli,Erwinia_chrysanthemi,Pantoea_agglomerans,Gluconacetobacter_liquefaciens,Serratia_rubidaea,Pseudoxanthomonas_mexicana,Enterobacter_ludwigii,Shewanella_pacifica,Acinetobacter_rhizosphaerae,Enterobacter_radicincitans,Xenorhabdus_romanii,Desulfovibrio_C21+c20,Necropsobacter_rosorum,Methanobrevibacter_arboriphilus,Kleidoceria_schneideri,Desulfovibrio_litoralis,Synechococcus_elongatus,Halanaerobium_hydrogeniformans,Rhodospirillum_rubrum,Variovorax_paradoxus,Jonquetella_anthropi,Alicyclobacillus_pomorum,Haemophilus_felis,Pseudomonas_viridiflava,Acetonema_longum,Alcaligenes_faecalis,Gallibacterium_genomosp.,Neisseria_cinerea,Ruminococcus_gauvreauii,Nitritalea_halalkaliphila,Selenomonas_noxia,Clostridium_neonatale,Aquincola_tertiaricarbonis,Haemophilus_influenzae,Streptococcus_sobrinus
0,0.045558087,3.356112377,0.516324981,0.151860289,0.030372058,27.45634017,0.015186029,1.351556568,0.015186029,0.075930144,0.015186029,0.015186029,0.060744115,0.045558087,0.242976462,2.824601367,0.106302202,0.516324981,0.015186029,0.53151101,0.015186029,0.030372058,0.13667426,0.288534548,1.123766135,1.290812453,0.015186029,0.030372058,1.913439636,1.609719059,8.899012908,0.030372058,0.015186029,0.030372058,0.13667426,2.110858011,0.774487472,0.091116173,3.128321944,0.835231587,0.015186029,0.106302202,0.045558087,1.06302202,0.030372058,0.015186029,0.015186029,1.108580106,0.334092635,0.53151101,0.318906606,5.968109339,0.622627183,0.015186029,29.79498861,0.015186029,0.045558087,0.060744115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4.869565217,,0.043478261,,5.869565217,,0.130434783,,0.304347826,,,0.304347826,0.043478261,,3.130434783,,0.217391304,,1.260869565,0.173913044,,1.304347826,0.173913044,1.47826087,0.086956522,,,0.304347826,0.173913044,6.0,0.130434783,,0.173913044,1.130434783,4.043478261,,,3.130434783,0.565217391,,0.260869565,0.304347826,0.086956522,0.043478261,,0.086956522,0.869565217,0.043478261,0.434782609,0.652173913,2.956521739,9.217391304,,44.34782609,,,,0.043478261,0.130434783,0.217391304,0.217391304,0.391304348,0.043478261,3.695652174,0.043478261,0.130434783,0.043478261,0.130434783,0.086956522,0.043478261,0.086956522,0.043478261,0.086956522,0.043478261,0.173913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1.918426568,0.080606158,0.112848622,0.161212317,59.58407222,,0.451394487,0.016121232,0.112848622,,,0.257939707,0.080606158,0.048363695,0.257939707,,2.208608738,,0.19345478,0.016121232,0.032242463,0.274060938,0.435273255,1.321940996,0.628728035,0.016121232,0.016121232,0.161212317,1.241334838,4.272126391,0.064484927,0.016121232,,0.112848622,0.338545865,0.419152023,0.032242463,0.177333548,0.370788328,0.09672739,,0.016121232,,,0.016121232,0.032242463,1.015637595,0.032242463,0.257939707,0.451394487,0.725455425,0.241818475,,17.10462679,0.064484927,0.032242463,,,,0.38690956,,0.016121232,,0.016121232,0.016121232,0.016121232,0.177333548,0.016121232,,,,,,,3.385458649,0.016121232,0.016121232,0.016121232,0.016121232,0.016121232,0.016121232,0.016121232,0.048363695,0.032242463,0.016121232,0.016121232,0.016121232,0.080606158,0.032242463,0.080606158,0.016121232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2.196531792,0.033030553,0.132122213,0.14863749,58.10074319,,0.429397192,,0.082576383,,,0.165152766,0.016515277,0.016515277,0.24772915,,2.163501239,0.016515277,0.214698596,,0.016515277,0.24772915,0.24772915,1.502890173,1.007431875,,0.016515277,0.082576383,1.238645747,5.268373245,0.066061107,,,0.082576383,0.379851363,0.313790256,0.016515277,0.181668043,0.363336086,0.082576383,,0.016515277,,,,0.066061107,0.627580512,0.033030553,0.214698596,0.578034682,0.924855491,0.24772915,,17.19240297,0.04954583,0.082576383,,,,0.165152766,,,,0.016515277,0.016515277,0.016515277,0.280759703,0.09909166,,,,,,,3.765483072,,0.016515277,0.016515277,,,,0.033030553,0.016515277,0.016515277,,0.016515277,0.016515277,0.082576383,0.033030553,0.082576383,0.016515277,0.033030553,0.016515277,0.016515277,0.016515277,0.016515277,0.016515277,0.016515277,0.016515277,0.016515277,0.016515277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.008403361,3.957983193,0.210084034,0.025210084,0.394957983,46.37815126,,0.25210084,,,,,0.042016807,0.050420168,0.210084034,0.68907563,0.033613445,1.831932773,,0.109243698,0.008403361,0.033613445,0.201680672,0.025210084,3.344537815,0.336134454,,,0.18487395,0.042016807,1.537815126,0.25210084,,0.016806723,0.025210084,0.537815126,0.134453782,0.025210084,0.210084034,1.159663866,0.042016807,0.042016807,0.176470588,0.016806723,0.008403361,0.008403361,0.008403361,1.0,0.084033613,8.638655462,0.462184874,1.714285714,0.907563025,,18.78991597,,0.016806723,,,0.008403361,4.428571429,,,,0.008403361,0.092436975,0.168067227,0.100840336,,0.016806723,,0.008403361,,,0.050420168,,0.008403361,,0.067226891,,0.016806723,0.008403361,,,,,,,0.554621849,0.058823529,,0.008403361,,0.008403361,,0.008403361,,,,,,,0.008403361,0.042016807,0.008403361,0.008403361,0.008403361,0.008403361,0.008403361,0.008403361,0.008403361,0.008403361,0.008403361,0.042016807,0.008403361,0.008403361,0.008403361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,3.539975825,0.241754447,0.03453635,0.518045243,46.50319461,,0.241754447,,,,,0.112243136,0.008634087,0.146779485,0.388533932,0.077706786,1.554135728,,0.103609049,0.017268175,0.03453635,0.224486272,0.051804524,3.047832844,0.423070282,,0.025902262,0.146779485,0.03453635,1.597306165,0.250388534,,0.008634087,0.025902262,0.794336039,0.120877223,0.017268175,0.36263167,0.984285961,0.043170437,0.051804524,0.138145398,,0.008634087,,0.025902262,0.967017786,0.094974961,9.178034882,0.405802107,1.925401485,0.837506476,,18.81367639,,0.008634087,,,,4.21343464,,0.008634087,,0.025902262,0.103609049,0.215852184,0.060438612,,0.03453635,,0.008634087,,,0.077706786,0.008634087,0.008634087,,0.155413573,,0.008634087,,0.008634087,0.017268175,,,,,0.552581592,0.120877223,,0.008634087,,0.008634087,,0.03453635,,,,,,,,0.025902262,,,,0.025902262,,,0.008634087,,,0.008634087,,,0.008634087,0.008634087,0.017268175,0.017268175,0.017268175,0.008634087,0.008634087,0.008634087,0.008634087,0.008634087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1.079734219,,0.009228498,0.581395349,63.0860096,,0.119970469,,0.009228498,,0.018456995,0.03691399,0.055370986,0.258397933,0.369139904,0.009228498,2.427094869,,,0.018456995,0.018456995,0.009228498,0.055370986,0.867478775,0.341454411,,,0.046142488,0.03691399,0.23071244,0.083056478,,0.009228498,,0.156884459,0.064599483,0.009228498,0.027685493,0.42451089,0.009228498,0.009228498,0.03691399,,0.009228498,,0.009228498,0.673680325,0.046142488,12.20930233,0.073827981,1.864156515,0.387596899,,11.01882614,0.009228498,0.009228498,,,,2.454780362,,,,,0.046142488,0.101513474,0.009228498,,0.03691399,,,,,,,,,0.027685493,,,,,,,,,,0.26762643,0.027685493,,0.009228498,,,,0.009228498,,,,,,,,0.101513474,,,,0.018456995,,,0.018456995,,,,,,,,,,,,,,,,0.009228498,0.027685493,0.009228498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.577124869,0.013116474,0.36726128,0.026232949,57.22717733,,0.013116474,,0.262329486,,,0.380377755,,,0.09181532,,0.131164743,,,,,0.18363064,0.196747114,0.432843652,0.131164743,,,0.380377755,,11.04407135,,,,0.445960126,,,,22.38982162,0.026232949,,,,,,,0.013116474,0.09181532,0.013116474,,,5.036726128,,,0.09181532,0.052465897,0.013116474,,,,,,0.013116474,,0.026232949,,,,,,,,,,,,,,,,,,,,,0.013116474,,0.144281217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039349423,,,,,,,,0.039349423,,,,0.013116474,0.013116474,0.052465897,0.013116474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.043261951,1.708847069,1.708847069,0.151416829,,4.261302185,,0.627298291,0.129785853,0.064892927,,,0.151416829,,,0.735453169,,0.064892927,,0.519143413,,0.021630976,1.643954142,0.930131949,0.800346096,0.237940731,,0.043261951,0.367726585,0.129785853,25.2217175,0.151416829,0.021630976,,0.886869998,0.38935756,0.367726585,,1.103179753,0.562405365,,,0.086523902,,,,0.043261951,1.773739996,0.216309756,0.497512438,0.108154878,7.116590958,0.605667316,,42.00735453,0.043261951,0.021630976,,,0.021630976,0.908500973,,0.086523902,,,,,0.281202682,0.129785853,0.021630976,,0.021630976,,,,2.119835605,,,,,,,0.043261951,,,0.064892927,,0.021630976,0.129785853,0.086523902,,,0.021630976,,,0.021630976,,,,0.043261951,,0.043261951,,,,,,,,,,,,,0.021630976,,,0.086523902,,,,,,,,0.064892927,,,,,,,,0.129785853,0.021630976,0.021630976,0.021630976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.097943193,2.017629775,1.880509305,0.156709109,0.019588639,4.211557297,,0.489715965,0.058765916,0.058765916,,0.019588639,0.156709109,0.019588639,,0.822722821,,0.097943193,,0.450538688,,0.058765916,1.684622919,1.018609207,0.822722821,0.313418217,,0.078354554,0.391772772,0.372184133,24.99510284,0.195886386,0.019588639,,0.803134182,0.333006856,0.626836435,,1.312438786,0.548481881,,0.019588639,0.117531832,0.019588639,,,,1.860920666,0.254652302,0.430950049,0.156709109,6.52301665,0.509304603,,41.82174339,0.019588639,,,,0.019588639,1.273261508,0.019588639,0.097943193,0.019588639,0.019588639,,,0.372184133,0.058765916,,,,,,,1.625857003,,0.039177277,,,,,0.019588639,,0.019588639,,,0.019588639,0.058765916,,,0.058765916,,,0.019588639,,,0.019588639,,0.019588639,,,,,,,,,,,,,,,,,,0.078354554,,,0.019588639,,,,,0.039177277,,,,,,,,0.078354554,,,,0.019588639,0.019588639,0.019588639,0.019588639,0.039177277,0.019588639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
