,type,id,attributes.accession,attributes.count,attributes.description,attributes.lineage,links.self,Sample_id,attributes.relative_abundance
0,go-terms,GO:0030031,GO:0030031,1,cell projection assembly,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0030031,MGYA00005303,1.1941e-05
1,go-terms,GO:0071554,GO:0071554,5359,cell wall organization or biogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071554,MGYA00005303,0.063991819
2,go-terms,GO:0016043,GO:0016043,24217,cellular component organization,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016043,MGYA00005303,0.2891751969
3,go-terms,GO:0051301,GO:0051301,8853,cell division,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051301,MGYA00005303,0.105713673
4,go-terms,GO:0016049,GO:0016049,0,cell growth,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016049,MGYA00005303,0.0
5,go-terms,GO:0048870,GO:0048870,1089,cell motility,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0048870,MGYA00005303,0.013003749
6,go-terms,GO:0032196,GO:0032196,18687,transposition,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0032196,MGYA00005303,0.2231414669
7,go-terms,GO:0006811,GO:0006811,83898,ion transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006811,MGYA00005303,1.0018260177
8,go-terms,GO:0009306,GO:0009306,2152,protein secretion,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009306,MGYA00005303,0.025697032
9,go-terms,GO:0006810,GO:0006810,323680,transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006810,MGYA00005303,3.8650628789
10,go-terms,GO:0046034,GO:0046034,11420,ATP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046034,MGYA00005303,0.13636622
11,go-terms,GO:0009058,GO:0009058,567186,biosynthetic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009058,MGYA00005303,6.7727680241
12,go-terms,GO:0005975,GO:0005975,320792,carbohydrate metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005975,MGYA00005303,3.8305772709
13,go-terms,GO:0009056,GO:0009056,57973,catabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009056,MGYA00005303,0.6922555928
14,go-terms,GO:0006520,GO:0006520,169326,cellular amino acid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006520,MGYA00005303,2.0219217654
15,go-terms,GO:0045333,GO:0045333,1136,cellular respiration,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0045333,MGYA00005303,0.013564976
