,type,id,attributes_count,attributes.lineage,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Bacteria,Clostridiales,Firmicutes,Clostridia,Tissierellaceae,GW-34,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,22973.0,55.0132905481,22959.0,54.987665557,5.0,0.0126993803,2.0,0.0065724614,,
1,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:gut:metagenome,1,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:gut:metagenome,Bacteria,Erysipelotrichales,Firmicutes,Erysipelotrichi,Erysipelotrichaceae,gut,Bacteria,metagenome,gut,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253Agut%253Ametagenome,metagenome,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,1653.0,3.9584281233,1653.0,3.9589969583,1653.0,4.1984151173,1.0,0.0032862307,1.0,0.0084033613
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,113,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,22973.0,55.0132905481,22959.0,54.987665557,14241.0,36.1703748857,113.0,0.3713440684,,
3,organisms,Bacteria:Spirochaetes:Spirochaetes:Spirochaetales:Spirochaetaceae:Treponema,1,Bacteria:Spirochaetes:Spirochaetes:Spirochaetales:Spirochaetaceae:Treponema,Bacteria,Spirochaetales,Spirochaetes,Spirochaetes,Spirochaetaceae,Treponema,Bacteria,Treponema,Spirochaetaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ASpirochaetes%253ASpirochaetes%253ASpirochaetales%253ASpirochaetaceae%253ATreponema,,MGYA00005295,41742.0,99.9592902129,2.0,0.0047893867,2.0,0.0047893867,1.0,0.0023950375,1.0,0.0025398761,1.0,0.0032862307,,
4,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,5,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,Bacteria,Erysipelotrichales,Firmicutes,Erysipelotrichi,Erysipelotrichaceae,Catenibacterium,Bacteria,mitsuokai,Catenibacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253ACatenibacterium%253Amitsuokai,mitsuokai,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,1653.0,3.9584281233,1653.0,3.9589969583,1653.0,4.1984151173,214.0,0.7032533684,5.0,0.0420168067
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,14,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Bacteria,Clostridiales,Firmicutes,Clostridia,Acidaminobacteraceae,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,22973.0,55.0132905481,22959.0,54.987665557,14.0,0.0355582648,14.0,0.0460072297,,
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:Clostridium:ruminantium,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:Clostridium:ruminantium,Bacteria,Clostridiales,Firmicutes,Clostridia,Peptostreptococcaceae,Clostridium,Bacteria,ruminantium,Clostridium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253APeptostreptococcaceae%253AClostridium%253Aruminantium,ruminantium,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,22973.0,55.0132905481,22959.0,54.987665557,94.0,0.2387483491,221.0,0.7262569832,1.0,0.0084033613
7,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Oribacterium,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,,MGYA00005295,41742.0,99.9592902129,25186.0,60.3127469528,22973.0,55.0132905481,22959.0,54.987665557,14241.0,36.1703748857,3.0,0.0098586921,,
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,6,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Marinilabiaceae,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,,MGYA00005295,41742.0,99.9592902129,15283.0,36.5980986135,15279.0,36.58851984,15279.0,36.5937776926,7.0,0.0177791324,,,,
9,organisms,Bacteria:Proteobacteria:Alphaproteobacteria:Rickettsiales:mitochondria:Citrullus:lanatus,1,Bacteria:Proteobacteria:Alphaproteobacteria:Rickettsiales:mitochondria:Citrullus:lanatus,Bacteria,Rickettsiales,Proteobacteria,Alphaproteobacteria,mitochondria,Citrullus,Bacteria,lanatus,Citrullus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AAlphaproteobacteria%253ARickettsiales%253Amitochondria%253ACitrullus%253Alanatus,lanatus,MGYA00005295,41742.0,99.9592902129,838.0,2.0067530353,23.0,0.0550779473,2.0,0.004790075,2.0,0.0050797521,1.0,0.0032862307,1.0,0.0084033613
