,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.species,attributes.hierarchy.family,attributes.hierarchy.kingdom,attributes.hierarchy.genus,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Thiotrichales:Thiotrichaceae:Thiopilula:aggregata,1,Bacteria:Proteobacteria:Gammaproteobacteria:Thiotrichales:Thiotrichaceae:Thiopilula:aggregata,Thiotrichales,aggregata,Thiotrichaceae,Bacteria,Thiopilula,Proteobacteria,Gammaproteobacteria,Bacteria,aggregata,Thiopilula,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AThiotrichales%253AThiotrichaceae%253AThiopilula%253Aaggregata,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,1.0,0.0013942723,1.0,0.0014363895,1.0,0.0020992086,1.0,0.0057670127
1,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Propionibacteriaceae,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Propionibacteriaceae,Actinomycetales,,Propionibacteriaceae,Bacteria,,Actinobacteria,Actinobacteria,Bacteria,Propionibacteriaceae,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253APropionibacteriaceae,MGYA00005312,71732.0,100.0,296.0,0.4126470752,212.0,0.2955445268,45.0,0.0627422548,2.0,0.002872779,,,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,6,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Clostridiales,,Tissierellaceae,Bacteria,GW-34,Firmicutes,Clostridia,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,10.0,0.0143638949,6.0,0.0125952516,,
3,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:pyrinus,15,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:pyrinus,Enterobacteriales,pyrinus,Enterobacteriaceae,Bacteria,Enterobacter,Proteobacteria,Gammaproteobacteria,Bacteria,pyrinus,Enterobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AEnterobacter%253Apyrinus,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,113.0,0.2372105716,15.0,0.0865051903
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:WH1-8,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:WH1-8,Clostridiales,,Acidaminobacteraceae,Bacteria,WH1-8,Firmicutes,Clostridia,Bacteria,WH1-8,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AWH1-8,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,11.0,0.0158002844,1.0,0.0020992086,,
5,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Xenorhabdus:budapestensis,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Xenorhabdus:budapestensis,Enterobacteriales,budapestensis,Enterobacteriaceae,Bacteria,Xenorhabdus,Proteobacteria,Gammaproteobacteria,Bacteria,budapestensis,Xenorhabdus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AXenorhabdus%253Abudapestensis,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,26163.0,36.4783469507,26163.0,37.5802582628,18.0,0.0377857548,1.0,0.0057670127
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,32,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridiales,,Lachnospiraceae,Bacteria,Anaerostipes,Firmicutes,Clostridia,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,8887.0,12.7651934098,32.0,0.0671746751,,
7,organisms,Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus:haemoperoxidus,1,Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus:haemoperoxidus,Lactobacillales,haemoperoxidus,Enterococcaceae,Bacteria,Enterococcus,Firmicutes,Bacilli,Bacteria,haemoperoxidus,Enterococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ALactobacillales%253AEnterococcaceae%253AEnterococcus%253Ahaemoperoxidus,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,360.0,0.5018680645,328.0,0.457321324,51.0,0.0732558641,47.0,0.0986628041,1.0,0.0057670127
8,organisms,Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia,1,Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia,Fusobacteriales,,Leptotrichiaceae,Bacteria,Leptotrichia,Fusobacteria,Fusobacteriia,Bacteria,Leptotrichia,Leptotrichiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFusobacteria%253AFusobacteriia%253AFusobacteriales%253ALeptotrichiaceae%253ALeptotrichia,MGYA00005312,71732.0,100.0,1.0,0.001394078,1.0,0.001394078,1.0,0.0013942723,1.0,0.0014363895,1.0,0.0020992086,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,10,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridiales,,Acidaminobacteraceae,Bacteria,Fusibacter,Firmicutes,Clostridia,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005312,71732.0,100.0,21945.0,30.5930407628,20959.0,29.2184798974,20946.0,29.2044282089,11.0,0.0158002844,10.0,0.020992086,,
10,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,2,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,Pasteurellales,,Pasteurellaceae,Bacteria,Aggregatibacter,Proteobacteria,Gammaproteobacteria,Bacteria,Aggregatibacter,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AAggregatibacter,MGYA00005312,71732.0,100.0,28303.0,39.4565884124,27853.0,38.8292533318,228.0,0.3178940911,226.0,0.3246240251,2.0,0.0041984172,,
11,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,20,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidales,,Marinilabiaceae,Bacteria,,Bacteroidetes,Bacteroidia,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005312,71732.0,100.0,21180.0,29.5265711259,21175.0,29.5196007361,21175.0,29.5237165723,20.0,0.0287277898,,,,
