,type,id,attributes_count,attributes.lineage,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:34P16,1,Bacteria:Proteobacteria:Gammaproteobacteria:34P16,Bacteria,34P16,Proteobacteria,Gammaproteobacteria,Bacteria,34P16,Gammaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253A34P16,,,,MGYA00005313,69002.0,100.0,27151.0,39.3481348367,26774.0,38.8017738616,1.0,0.0014493174,,,,,,
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,8,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,Tissierellaceae,GW-34,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,9.0,0.0134466839,8.0,0.017405683,,
2,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Oceanospirillales:Alcanivoracaceae:Alcanivorax:venustensis,1,Bacteria:Proteobacteria:Gammaproteobacteria:Oceanospirillales:Alcanivoracaceae:Alcanivorax:venustensis,Bacteria,Oceanospirillales,Proteobacteria,Gammaproteobacteria,Bacteria,venustensis,Alcanivorax,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AOceanospirillales%253AAlcanivoracaceae%253AAlcanivorax%253Avenustensis,Alcanivoracaceae,Alcanivorax,venustensis,MGYA00005313,69002.0,100.0,27151.0,39.3481348367,26774.0,38.8017738616,4.0,0.0057972695,2.0,0.002988152,2.0,0.0043514207,1.0,0.0059573454
3,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Alloscardovia,6,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Alloscardovia,Bacteria,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,Alloscardovia,Bifidobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253AAlloscardovia,Bifidobacteriaceae,Alloscardovia,,MGYA00005313,69002.0,100.0,285.0,0.4130315063,221.0,0.3202805716,181.0,0.2623264442,181.0,0.270427754,6.0,0.0130542622,,
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:WH1-8,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:WH1-8,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,WH1-8,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AWH1-8,Acidaminobacteraceae,WH1-8,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,3.0,0.004482228,1.0,0.0021757104,,
5,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Pragia:fontium,2,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Pragia:fontium,Bacteria,Enterobacteriales,Proteobacteria,Gammaproteobacteria,Bacteria,fontium,Pragia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253APragia%253Afontium,Enterobacteriaceae,Pragia,fontium,MGYA00005313,69002.0,100.0,27151.0,39.3481348367,26774.0,38.8017738616,25062.0,36.322791965,25062.0,37.4445324289,2.0,0.0043514207,2.0,0.0119146908
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,27,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,Lachnospiraceae,Anaerostipes,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,8589.0,12.832618667,27.0,0.05874418,,
7,organisms,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Abiotrophia,1,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Abiotrophia,Bacteria,Lactobacillales,Firmicutes,Bacilli,Bacteria,Abiotrophia,Aerococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ALactobacillales%253AAerococcaceae%253AAbiotrophia,Aerococcaceae,Abiotrophia,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,393.0,0.5695487087,355.0,0.5145076669,2.0,0.002988152,1.0,0.0021757104,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,Acidaminobacteraceae,Fusibacter,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,3.0,0.004482228,2.0,0.0043514207,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,Lachnospiraceae,Oribacterium,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,8589.0,12.832618667,1.0,0.0021757104,,
10,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,12,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,Marinilabiaceae,,,MGYA00005313,69002.0,100.0,20459.0,29.6498652213,20454.0,29.6426190545,20454.0,29.644337517,13.0,0.0194229879,,,,
11,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,8,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,Porphyromonadaceae,CandidatusAzobacteroides,,MGYA00005313,69002.0,100.0,20459.0,29.6498652213,20454.0,29.6426190545,20454.0,29.644337517,1774.0,2.650490804,8.0,0.017405683,,
12,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,174,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Bacteria,Clostridiales,Firmicutes,Clostridia,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,Clostridiaceae,SMB53,,MGYA00005313,69002.0,100.0,21094.0,30.5701284021,20119.0,29.1571258804,20111.0,29.1472216586,494.0,0.7380735384,174.0,0.3785736043,,
