,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.family,attributes.hierarchy.class,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,5,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,alvei,Hafnia,Bacteria,alvei,Hafnia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AHafnia%253Aalvei,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,188.0,1.5450361604,188.0,2.0548693846,5.0,0.084645336,5.0,0.3178639542
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,31,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,31.0,0.5248010835,,
2,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,Bacteroidales,Bacteroidetes,RF16,Bacteroidia,Bacteria,,,Bacteria,RF16,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARF16,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,1.0,0.0109301563,,,,
3,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridiales,Firmicutes,Acidaminobacteraceae,Clostridia,Bacteria,,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,3.0,0.0327904689,3.0,0.0507872016,,
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Oribacterium,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,1068.0,11.6734069297,3.0,0.0507872016,,
5,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,5,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidales,Bacteroidetes,Marinilabiaceae,Bacteroidia,Bacteria,,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,6.0,0.0655809378,,,,
6,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Xenorhabdus:bovienii,3,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Xenorhabdus:bovienii,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,bovienii,Xenorhabdus,Bacteria,bovienii,Xenorhabdus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AXenorhabdus%253Abovienii,MGYA00005314,11942.0,98.1184783502,489.0,4.0177471038,195.0,1.6021690905,188.0,1.5450361604,188.0,2.0548693846,3.0,0.0507872016,3.0,0.1907183725
7,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,21,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,5780.0,47.4899350916,5770.0,47.419460881,168.0,1.8362662586,21.0,0.3555104114,,
8,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,12,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Turicibacterales,Firmicutes,Turicibacteraceae,Bacilli,Bacteria,,Turicibacter,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,MGYA00005314,11942.0,98.1184783502,5814.0,47.769287651,20.0,0.1643250349,12.0,0.0986193294,12.0,0.1311618756,12.0,0.2031488065,,
9,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,17,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Bacteroidales,Bacteroidetes,Porphyromonadaceae,Bacteroidia,Bacteria,,Tannerella,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,MGYA00005314,11942.0,98.1184783502,5284.0,43.4146742256,5276.0,43.3489442117,5276.0,43.3596318212,1138.0,12.4385178708,17.0,0.2877941425,,
