,type,id,attributes_count,attributes.lineage,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.class,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:pyrinus,1,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Enterobacter:pyrinus,Enterobacteriaceae,Enterobacter,Gammaproteobacteria,Enterobacteriales,Proteobacteria,Bacteria,pyrinus,Bacteria,pyrinus,Enterobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AEnterobacter%253Apyrinus,MGYA00005316,22553.0,99.4268835692,869.0,3.8310629105,302.0,1.3315109563,284.0,1.2527016894,284.0,1.6480009285,2.0,0.0187055743,1.0,0.0342935528
1,organisms,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia,2,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia,Aerococcaceae,Facklamia,Bacilli,Lactobacillales,Firmicutes,Bacteria,,Bacteria,Facklamia,Aerococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ALactobacillales%253AAerococcaceae%253AFacklamia,MGYA00005316,22553.0,99.4268835692,12464.0,54.9486399506,87.0,0.3835809709,36.0,0.1587931719,2.0,0.0116056403,2.0,0.0187055743,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,74,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Lachnospiraceae,Anaerostipes,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005316,22553.0,99.4268835692,12464.0,54.9486399506,12332.0,54.3715003748,12306.0,54.280799259,2246.0,13.0331341032,74.0,0.6921062477,,
3,organisms,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Polaribacter,1,Bacteria:Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Polaribacter,Flavobacteriaceae,Polaribacter,Flavobacteriia,Flavobacteriales,Bacteroidetes,Bacteria,,Bacteria,Polaribacter,Flavobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253AFlavobacteriia%253AFlavobacteriales%253AFlavobacteriaceae%253APolaribacter,MGYA00005316,22553.0,99.4268835692,8305.0,36.6133227527,12.0,0.0529077201,12.0,0.0529310573,12.0,0.069633842,1.0,0.0093527871,,
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Acidaminobacteraceae,Fusibacter,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005316,22553.0,99.4268835692,12464.0,54.9486399506,12332.0,54.3715003748,12306.0,54.280799259,1.0,0.0058028202,1.0,0.0093527871,,
5,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,2,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter,Pasteurellaceae,Aggregatibacter,Gammaproteobacteria,Pasteurellales,Proteobacteria,Bacteria,,Bacteria,Aggregatibacter,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AAggregatibacter,MGYA00005316,22553.0,99.4268835692,869.0,3.8310629105,302.0,1.3315109563,16.0,0.0705747431,16.0,0.0928451227,2.0,0.0187055743,,
6,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,7,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Marinilabiaceae,,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005316,22553.0,99.4268835692,8305.0,36.6133227527,8293.0,36.5636435783,8293.0,36.5797715143,7.0,0.0406197412,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,8,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Porphyromonadaceae,CandidatusAzobacteroides,Bacteroidia,Bacteroidales,Bacteroidetes,Bacteria,,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,MGYA00005316,22553.0,99.4268835692,8305.0,36.6133227527,8293.0,36.5636435783,8293.0,36.5797715143,1513.0,8.7796669181,8.0,0.074822297,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,57,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridiaceae,SMB53,Clostridia,Clostridiales,Firmicutes,Bacteria,,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,MGYA00005316,22553.0,99.4268835692,12464.0,54.9486399506,12332.0,54.3715003748,12306.0,54.280799259,333.0,1.9323391168,57.0,0.5331088664,,
9,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,32,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Turicibacteraceae,Turicibacter,Bacilli,Turicibacterales,Firmicutes,Bacteria,,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,MGYA00005316,22553.0,99.4268835692,12464.0,54.9486399506,87.0,0.3835809709,32.0,0.1411494861,32.0,0.1856902455,32.0,0.2992891882,,
