,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.order,attributes.hierarchy.kingdom,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,8,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridia,Firmicutes,Clostridiales,Bacteria,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,2885.0,9.925686369,2865.0,9.8589125946,1787.0,6.2098203426,8.0,0.0292461797,,
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridia,Firmicutes,Clostridiales,Bacteria,Acidaminobacteraceae,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,2885.0,9.925686369,2865.0,9.8589125946,3.0,0.0104249922,3.0,0.0109673174,,
2,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Bacteroidaceae,,Bacteria,Bacteroidaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae,,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,16512.0,57.3791569656,,,,
3,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,22,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Marinilabiaceae,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,22.0,0.0764499427,,,,
4,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Porphyromonadaceae,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,2942.0,10.2234423324,2.0,0.0073115449,,
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,88,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridia,Firmicutes,Clostridiales,Bacteria,Clostridiaceae,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,2885.0,9.925686369,2865.0,9.8589125946,147.0,0.5108246169,88.0,0.3217079769,,
6,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,2,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Bacilli,Firmicutes,Turicibacterales,Bacteria,Turicibacteraceae,Turicibacter,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,20.0,0.0688089176,2.0,0.0068823125,2.0,0.0069499948,2.0,0.0073115449,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,20,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Porphyromonadaceae,Tannerella,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,2942.0,10.2234423324,20.0,0.0731154493,,
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,59,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Rikenellaceae,Blvii28,Bacteria,Blvii28,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ABlvii28,,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,62.0,0.2154498384,59.0,0.2156905754,,
9,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus,3,Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus,Gammaproteobacteria,Proteobacteria,Pasteurellales,Bacteria,Pasteurellaceae,Haemophilus,Bacteria,Haemophilus,Pasteurellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253APasteurellales%253APasteurellaceae%253AHaemophilus,,MGYA00005329,29066.0,100.0,2155.0,7.4141608752,62.0,0.2133076447,29.0,0.0997935306,29.0,0.1007749244,21.0,0.0767712218,,
10,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,39,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Ruminococcus:gnavus,Clostridia,Firmicutes,Clostridiales,Bacteria,Lachnospiraceae,Ruminococcus,Bacteria,gnavus,Ruminococcus,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253ARuminococcus%253Agnavus,gnavus,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,2885.0,9.925686369,2865.0,9.8589125946,1787.0,6.2098203426,96.0,0.3509541566,39.0,0.5501481168
11,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Succiniclasticum,Clostridia,Firmicutes,Clostridiales,Bacteria,Veillonellaceae,Succiniclasticum,Bacteria,Succiniclasticum,Veillonellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253ASucciniclasticum,,MGYA00005329,29066.0,100.0,2911.0,10.0151379619,2885.0,9.925686369,2865.0,9.8589125946,492.0,1.7096987177,1.0,0.0036557725,,
12,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:eggerthii,Bacteroidia,Bacteroidetes,Bacteroidales,Bacteria,Bacteroidaceae,Bacteroides,Bacteria,eggerthii,Bacteroides,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ABacteroidaceae%253ABacteroides%253Aeggerthii,eggerthii,MGYA00005329,29066.0,100.0,23968.0,82.4606068947,23967.0,82.4571664488,23967.0,82.4741913283,16512.0,57.3791569656,16490.0,60.2836879433,1.0,0.014106362
13,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,2,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Corynebacteriaceae:Corynebacterium,Actinobacteria,Actinobacteria,Actinomycetales,Bacteria,Corynebacteriaceae,Corynebacterium,Bacteria,Corynebacterium,Corynebacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253ACorynebacteriaceae%253ACorynebacterium,,MGYA00005329,29066.0,100.0,28.0,0.0963324847,5.0,0.0172022294,5.0,0.0172057811,2.0,0.0069499948,2.0,0.0073115449,,
