,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Betaproteobacteria:MND1,1,Bacteria:Proteobacteria:Betaproteobacteria:MND1,Betaproteobacteria,Proteobacteria,Bacteria,MND1,Bacteria,MND1,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253AMND1,,,,MGYA00005330,28933.0,99.9930879558,627.0,2.1669258683,565.0,1.952652497,1.0,0.0034570974,,,,,,
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,43,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,Lachnospiraceae,Anaerostipes,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,5177.0,18.4241432079,43.0,0.1770494503,,
2,organisms,Bacteria:Spirochaetes:Spirochaetes:Spirochaetales:Spirochaetaceae:Treponema,1,Bacteria:Spirochaetes:Spirochaetes:Spirochaetales:Spirochaetaceae:Treponema,Spirochaetes,Spirochaetes,Bacteria,Spirochaetales,Bacteria,Treponema,Spirochaetaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ASpirochaetes%253ASpirochaetes%253ASpirochaetales%253ASpirochaetaceae%253ATreponema,Spirochaetaceae,Treponema,,MGYA00005330,28933.0,99.9930879558,1.0,0.0034560221,1.0,0.0034560221,1.0,0.0034570974,1.0,0.0035588455,1.0,0.0041174291,,
3,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,5,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,Erysipelotrichi,Firmicutes,Bacteria,Erysipelotrichales,Bacteria,mitsuokai,Catenibacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253ACatenibacterium%253Amitsuokai,Erysipelotrichaceae,Catenibacterium,mitsuokai,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,824.0,2.8477622257,824.0,2.8486482749,824.0,2.9324887007,247.0,1.0170049821,5.0,0.0461084471
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,9,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,Acidaminobacteraceae,Fusibacter,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,9.0,0.0320296096,9.0,0.0370568617,,
5,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,14,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,Actinobacteria,Actinobacteria,Bacteria,Bifidobacteriales,Bacteria,adolescentis,Bifidobacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253ABifidobacterium%253Aadolescentis,Bifidobacteriaceae,Bifidobacterium,adolescentis,MGYA00005330,28933.0,99.9930879558,179.0,0.6186279592,96.0,0.3317781234,88.0,0.304224573,88.0,0.3131784049,84.0,0.3458640425,14.0,0.1291036518
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Natronincola_Anaerovirgula,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Natronincola_Anaerovirgula,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Natronincola_Anaerovirgula,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ANatronincola_Anaerovirgula,Clostridiaceae,Natronincola_Anaerovirgula,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,417.0,1.4840385779,1.0,0.0041174291,,
7,organisms,Bacteria:Cyanobacteria:Gloeobacterophycideae:Gloeobacterales:Gloeobacteraceae:Gloeobacter:violaceus,1,Bacteria:Cyanobacteria:Gloeobacterophycideae:Gloeobacterales:Gloeobacteraceae:Gloeobacter:violaceus,Gloeobacterophycideae,Cyanobacteria,Bacteria,Gloeobacterales,Bacteria,violaceus,Gloeobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253AGloeobacterophycideae%253AGloeobacterales%253AGloeobacteraceae%253AGloeobacter%253Aviolaceus,Gloeobacteraceae,Gloeobacter,violaceus,MGYA00005330,28933.0,99.9930879558,6.0,0.0207361327,1.0,0.0034560221,1.0,0.0034570974,1.0,0.0035588455,1.0,0.0041174291,1.0,0.0092216894
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,Porphyromonadaceae,CandidatusAzobacteroides,,MGYA00005330,28933.0,99.9930879558,16366.0,56.5612579921,16365.0,56.5578019699,16365.0,56.5753992948,272.0,0.9680059789,1.0,0.0041174291,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,124,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,Clostridiaceae,SMB53,,MGYA00005330,28933.0,99.9930879558,11748.0,40.6013478486,10723.0,37.0589251771,10699.0,36.9874853073,417.0,1.4840385779,124.0,0.5105612056,,
