,item,count,label
0,Bifidobacterium_adolescentis,145,species
1,Bifidobacterium_longum,145,species
2,Faecalibacterium_prausnitzii,145,species
3,Roseburia_faecis,145,species
4,Dorea_formicigenerans,145,species
5,Parabacteroides_distasonis,114,species
6,Lachnospira_pectinoschiza,73,species
7,Collinsella_aerofaciens,72,species
8,Eubacterium_biforme,62,species
9,Blautia_obeum,60,species
10,Ruminococcus_flavefaciens,44,species
11,Bacteroides_caccae,43,species
12,Prevotella_stercorea,42,species
13,Shuttleworthia_satelles,30,species
14,Prevotella_melaninogenica,26,species
15,Coprococcus_eutactus,11,species
16,Bacteroides_eggerthii,4,species
17,Bacteroides_plebeius,4,species
18,Prevotella_nanceiensis,1,species
19,Eubacterium_cylindroides,1,species
20,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,7,functionality
21,GO:ATP_metabolic_process-biological_process,7,functionality
22,GO:transposition-biological_process,7,functionality
23,GO:homeostatic_process-biological_process,4,functionality
24,GO:cell_division-biological_process,3,functionality
25,GO:acetyltransferase_activity-molecular_function,3,functionality
