,item,count,label
0,Roseburia_faecis,8272,species
1,Bifidobacterium_longum,8272,species
2,Bifidobacterium_adolescentis,8272,species
3,Dorea_formicigenerans,8272,species
4,Faecalibacterium_prausnitzii,8272,species
5,Parabacteroides_distasonis,7843,species
6,Collinsella_aerofaciens,7364,species
7,Ruminococcus_flavefaciens,6912,species
8,Eubacterium_biforme,6208,species
9,Blautia_obeum,5888,species
10,Lachnospira_pectinoschiza,5728,species
11,Bacteroides_caccae,4996,species
12,Shuttleworthia_satelles,3456,species
13,Prevotella_stercorea,3424,species
14,Prevotella_melaninogenica,2434,species
15,Coprococcus_eutactus,2176,species
16,Bacteroides_eggerthii,2048,species
17,Prevotella_nanceiensis,512,species
18,Bacteroides_plebeius,260,species
19,Eubacterium_cylindroides,128,species
20,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,28,functionality
21,GO:ATP_metabolic_process-biological_process,28,functionality
22,GO:transposition-biological_process,28,functionality
23,GO:homeostatic_process-biological_process,24,functionality
24,GO:cell_division-biological_process,24,functionality
25,GO:acetyltransferase_activity-molecular_function,24,functionality
