,item,count,label
0,Bifidobacterium_adolescentis,47,species
1,Bifidobacterium_longum,47,species
2,Faecalibacterium_prausnitzii,47,species
3,Roseburia_faecis,47,species
4,Dorea_formicigenerans,47,species
5,Parabacteroides_distasonis,43,species
6,Lachnospira_pectinoschiza,30,species
7,Collinsella_aerofaciens,28,species
8,Eubacterium_biforme,24,species
9,Blautia_obeum,22,species
10,Ruminococcus_flavefaciens,21,species
11,Bacteroides_caccae,20,species
12,Prevotella_stercorea,17,species
13,Shuttleworthia_satelles,14,species
14,Prevotella_melaninogenica,10,species
15,Coprococcus_eutactus,7,species
16,Bacteroides_eggerthii,3,species
17,Bacteroides_plebeius,3,species
18,Prevotella_nanceiensis,1,species
19,Eubacterium_cylindroides,1,species
20,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,3,functionality
21,GO:ATP_metabolic_process-biological_process,3,functionality
22,GO:transposition-biological_process,3,functionality
23,GO:homeostatic_process-biological_process,2,functionality
24,GO:cell_division-biological_process,2,functionality
25,GO:acetyltransferase_activity-molecular_function,2,functionality
