,item,count,label
0,Faecalibacterium_prausnitzii,215,species
1,Parabacteroides_distasonis,201,species
2,Bacteroides_caccae,148,species
3,Collinsella_aerofaciens,148,species
4,Ruminococcus_flavefaciens,132,species
5,Bacteroides_eggerthii,84,species
6,Bacteroides_acidifaciens,70,species
7,Lachnospira_pectinoschiza,70,species
8,Prevotella_stercorea,64,species
9,Akkermansia_muciniphila,64,species
10,Bacteroides_fragilis,56,species
11,Bacteroides_plebeius,54,species
12,Bifidobacterium_longum,34,species
13,Shuttleworthia_satelles,32,species
14,Roseburia_faecis,20,species
15,Ruminococcus_torques,16,species
16,Blautia_obeum,16,species
17,Dorea_formicigenerans,16,species
18,GO:transposition-biological_process,6,functionality
19,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,4,functionality
20,GO:ATP_metabolic_process-biological_process,4,functionality
21,GO:acetyltransferase_activity-molecular_function,2,functionality
22,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",2,functionality
