,item,count,label
0,Faecalibacterium_prausnitzii,22,species
1,Parabacteroides_distasonis,20,species
2,Bacteroides_caccae,9,species
3,Ruminococcus_flavefaciens,9,species
4,Lachnospira_pectinoschiza,9,species
5,Collinsella_aerofaciens,9,species
6,Bacteroides_eggerthii,8,species
7,Bacteroides_acidifaciens,7,species
8,Bacteroides_plebeius,5,species
9,Bacteroides_fragilis,4,species
10,Bifidobacterium_longum,4,species
11,Shuttleworthia_satelles,3,species
12,Roseburia_faecis,2,species
13,Akkermansia_muciniphila,1,species
14,Prevotella_stercorea,1,species
15,Ruminococcus_torques,1,species
16,Blautia_obeum,1,species
17,Dorea_formicigenerans,1,species
18,GO:transposition-biological_process,3,functionality
19,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,1,functionality
20,GO:ATP_metabolic_process-biological_process,1,functionality
21,GO:acetyltransferase_activity-molecular_function,1,functionality
22,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",1,functionality
