,item,count,label
0,Faecalibacterium_prausnitzii,234,species
1,Parabacteroides_distasonis,142,species
2,Bifidobacterium_longum,123,species
3,Dorea_formicigenerans,120,species
4,Collinsella_aerofaciens,103,species
5,Roseburia_faecis,99,species
6,Bacteroides_caccae,85,species
7,Lachnospira_pectinoschiza,66,species
8,Blautia_obeum,52,species
9,Bifidobacterium_adolescentis,40,species
10,Ruminococcus_flavefaciens,38,species
11,Prevotella_stercorea,31,species
12,Shuttleworthia_satelles,25,species
13,Bacteroides_plebeius,8,species
14,Bacteroides_eggerthii,7,species
15,Prevotella_melaninogenica,7,species
16,Bacteroides_fragilis,5,species
17,Bacteroides_acidifaciens,2,species
18,Eubacterium_biforme,1,species
19,Coprococcus_eutactus,1,species
20,GO:transposition-biological_process,13,functionality
21,GO:homeostatic_process-biological_process,7,functionality
22,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",7,functionality
23,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,5,functionality
24,GO:ATP_metabolic_process-biological_process,5,functionality
25,GO:acetyltransferase_activity-molecular_function,4,functionality
26,GO:cell_division-biological_process,1,functionality
