,item,count,label
0,Faecalibacterium_prausnitzii,857,species
1,Bifidobacterium_longum,776,species
2,Dorea_formicigenerans,746,species
3,Parabacteroides_distasonis,737,species
4,Roseburia_faecis,732,species
5,Collinsella_aerofaciens,719,species
6,Ruminococcus_flavefaciens,580,species
7,Bifidobacterium_adolescentis,552,species
8,Blautia_obeum,548,species
9,Bacteroides_caccae,437,species
10,Lachnospira_pectinoschiza,404,species
11,Shuttleworthia_satelles,272,species
12,Prevotella_stercorea,176,species
13,Bacteroides_eggerthii,48,species
14,Eubacterium_biforme,32,species
15,Bacteroides_plebeius,18,species
16,Bacteroides_fragilis,10,species
17,Prevotella_melaninogenica,7,species
18,Bacteroides_acidifaciens,4,species
19,Coprococcus_eutactus,4,species
20,GO:transposition-biological_process,23,functionality
21,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,20,functionality
22,GO:ATP_metabolic_process-biological_process,20,functionality
23,GO:homeostatic_process-biological_process,18,functionality
24,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",18,functionality
25,GO:acetyltransferase_activity-molecular_function,12,functionality
26,GO:cell_division-biological_process,2,functionality
