,item,count,label
0,Faecalibacterium_prausnitzii,57,species
1,Parabacteroides_distasonis,43,species
2,Bifidobacterium_longum,35,species
3,Collinsella_aerofaciens,30,species
4,Dorea_formicigenerans,30,species
5,Bacteroides_caccae,29,species
6,Roseburia_faecis,28,species
7,Lachnospira_pectinoschiza,21,species
8,Bifidobacterium_adolescentis,16,species
9,Blautia_obeum,14,species
10,Ruminococcus_flavefaciens,13,species
11,Prevotella_stercorea,13,species
12,Shuttleworthia_satelles,9,species
13,Bacteroides_eggerthii,4,species
14,Bacteroides_plebeius,4,species
15,Bacteroides_fragilis,4,species
16,Prevotella_melaninogenica,3,species
17,Eubacterium_biforme,1,species
18,Bacteroides_acidifaciens,1,species
19,Coprococcus_eutactus,1,species
20,GO:transposition-biological_process,5,functionality
21,GO:acetyltransferase_activity-molecular_function,3,functionality
22,GO:proton-transporting_two-sector_ATPase_complex-cellular_component,2,functionality
23,GO:homeostatic_process-biological_process,2,functionality
24,GO:ATP_metabolic_process-biological_process,2,functionality
25,"GO:symbiosis,_encompassing_mutualism_through_parasitism-biological_process",2,functionality
26,GO:cell_division-biological_process,1,functionality
