,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
1,0.9963,1.0,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,0.9926,0.9926,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9889,0.9926,0.9926,0.9926,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9889,0.9779,0.9963,0.9963,0.9963,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.845,0.9779,0.9779
2,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
3,0.9963,0.9926,0.9963,1.0,0.9963,0.9963,0.9704,0.845,0.9926,0.9926,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9926,0.9926,0.9926,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9889,0.9779,0.9963,0.9963,0.9963,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.845,0.9779,0.9779
4,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
5,1.0,0.9963,1.0,0.9963,1.0,1.0,0.9668,0.8487,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.9926,0.9963,0.9963,0.9963,1.0,0.9742,0.9742,1.0,1.0,0.9963,0.9926,0.9815,1.0,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.8487,0.9815,0.9815
6,0.9668,0.9631,0.9668,0.9704,0.9668,0.9668,1.0,0.8155,0.9631,0.9631,0.9668,0.9668,0.9668,0.9668,0.9668,0.9668,0.9667,0.9631,0.9631,0.9631,0.9668,0.9481,0.9481,0.9668,0.9668,0.9631,0.9594,0.9483,0.9668,0.9668,0.9668,0.9631,0.9631,0.9631,0.9631,0.9631,0.9631,0.8155,0.9483,0.985
7,0.8487,0.845,0.8487,0.845,0.8487,0.8487,0.8155,1.0,0.845,0.845,0.8487,0.8487,0.8487,0.8487,0.8487,0.8487,0.8413,0.845,0.845,0.845,0.8487,0.8229,0.8229,0.8487,0.8487,0.845,0.8413,0.8647,0.8487,0.8487,0.8487,0.845,0.845,0.845,0.845,0.845,0.845,1.0,0.8647,0.8303
8,0.9963,0.9926,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9889,0.9926,1.0,1.0,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9963,0.9779,0.9963,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.845,0.9779,0.9779
9,0.9963,0.9926,0.9963,0.9926,0.9963,0.9963,0.9631,0.845,1.0,1.0,0.9963,0.9963,0.9963,0.9963,0.9963,0.9963,0.9889,0.9926,1.0,1.0,0.9963,0.9778,0.9778,0.9963,0.9963,0.9926,0.9963,0.9779,0.9963,0.9963,0.9963,1.0,1.0,1.0,1.0,1.0,1.0,0.845,0.9779,0.9779
