,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
1,0.994,1.0,0.994,0.994,0.994,0.994,0.9701,0.8743,0.988,0.988,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,0.988,0.988,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
2,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
3,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
4,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
5,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
6,0.976,0.9701,0.976,0.976,0.976,0.976,1.0,0.8563,0.9701,0.9701,0.976,0.976,0.976,0.976,0.976,0.976,0.9701,0.9701,0.9701,0.9701,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0044,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0045,0.0044,0.009
7,0.8802,0.8743,0.8802,0.8802,0.8802,0.8802,0.8563,1.0,0.8743,0.8743,0.8802,0.8802,0.8802,0.8802,0.8802,0.8802,0.8743,0.8743,0.8743,0.8743,0.0142,0.0144,0.0144,0.0142,0.0142,0.0143,0.0143,0.0144,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142,0.0149,0.0144,0.0048
8,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,1.0,1.0,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,1.0,1.0,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
9,0.994,0.988,0.994,0.994,0.994,0.994,0.9701,0.8743,1.0,1.0,0.994,0.994,0.994,0.994,0.994,0.994,0.988,0.988,1.0,1.0,0.0175,0.0176,0.0176,0.0175,0.0175,0.0175,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0136,0.0132,0.0089
10,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
11,1.0,0.994,1.0,1.0,1.0,1.0,0.976,0.8802,0.994,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.994,0.994,0.994,0.0174,0.0175,0.0175,0.0174,0.0174,0.0175,0.0175,0.0132,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0135,0.0132,0.0088
