,count
file_confidence_04_conseq_1_anteced_1,9
file_confidence_04_conseq_1_anteced_2,9
file_confidence_04_conseq_1_anteced_3,12
file_confidence_04_conseq_1_anteced_4,5
file_confidence_05_conseq_1_anteced_1,9
file_confidence_05_conseq_1_anteced_2,9
file_confidence_05_conseq_1_anteced_3,12
file_confidence_05_conseq_1_anteced_4,5
file_confidence_06_conseq_1_anteced_1,9
file_confidence_06_conseq_1_anteced_2,9
file_confidence_06_conseq_1_anteced_3,12
file_confidence_06_conseq_1_anteced_4,5
file_confidence_07_conseq_1_anteced_1,8
file_confidence_07_conseq_1_anteced_2,9
file_confidence_07_conseq_1_anteced_3,12
file_confidence_07_conseq_1_anteced_4,5
file_confidence_08_conseq_1_anteced_1,8
file_confidence_08_conseq_1_anteced_2,7
file_confidence_08_conseq_1_anteced_3,11
file_confidence_08_conseq_1_anteced_4,5
file_support_09_conseq_1_anteced_1,4
file_support_09_conseq_1_anteced_2,6
file_support_09_conseq_1_anteced_3,11
file_support_09_conseq_1_anteced_4,5
