,count
file_confidence_04_conseq_1_anteced_1,2
file_confidence_04_conseq_1_anteced_2,4
file_confidence_04_conseq_1_anteced_3,4
file_confidence_04_conseq_1_anteced_4,5
file_confidence_05_conseq_1_anteced_1,2
file_confidence_05_conseq_1_anteced_2,4
file_confidence_05_conseq_1_anteced_3,4
file_confidence_05_conseq_1_anteced_4,5
file_confidence_06_conseq_1_anteced_1,2
file_confidence_06_conseq_1_anteced_2,4
file_confidence_06_conseq_1_anteced_3,4
file_confidence_06_conseq_1_anteced_4,5
file_confidence_07_conseq_1_anteced_1,1
file_confidence_07_conseq_1_anteced_2,4
file_confidence_07_conseq_1_anteced_3,4
file_confidence_07_conseq_1_anteced_4,5
file_confidence_08_conseq_1_anteced_1,1
file_confidence_08_conseq_1_anteced_2,2
file_confidence_08_conseq_1_anteced_3,3
file_confidence_08_conseq_1_anteced_4,5
file_support_09_conseq_1_anteced_1,1
file_support_09_conseq_1_anteced_2,2
file_support_09_conseq_1_anteced_3,3
file_support_09_conseq_1_anteced_4,5
