,count
file_confidence_04_conseq_1_anteced_1,214
file_confidence_04_conseq_1_anteced_2,873
file_confidence_04_conseq_1_anteced_3,1900
file_confidence_04_conseq_1_anteced_4,2320
file_confidence_04_conseq_1_anteced_5,1602
file_confidence_04_conseq_1_anteced_6,609
file_confidence_04_conseq_1_anteced_7,112
file_confidence_04_conseq_1_anteced_8,9
file_confidence_04_conseq_2_anteced_1,873
file_confidence_04_conseq_2_anteced_2,2850
file_confidence_04_conseq_2_anteced_3,4640
file_confidence_04_conseq_2_anteced_4,4005
file_confidence_04_conseq_2_anteced_5,1827
file_confidence_04_conseq_2_anteced_6,392
file_confidence_04_conseq_2_anteced_7,36
file_confidence_04_conseq_3_anteced_1,1900
file_confidence_04_conseq_3_anteced_2,4640
file_confidence_04_conseq_3_anteced_3,5340
file_confidence_04_conseq_3_anteced_4,3045
file_confidence_04_conseq_3_anteced_5,784
file_confidence_04_conseq_3_anteced_6,84
file_confidence_04_conseq_4_anteced_1,2320
file_confidence_04_conseq_4_anteced_2,4005
file_confidence_04_conseq_4_anteced_3,3045
file_confidence_04_conseq_4_anteced_4,980
file_confidence_04_conseq_4_anteced_5,126
file_confidence_04_conseq_5_anteced_1,1602
file_confidence_04_conseq_5_anteced_2,1827
file_confidence_04_conseq_5_anteced_3,784
file_confidence_04_conseq_5_anteced_4,126
file_confidence_04_conseq_6_anteced_1,609
file_confidence_04_conseq_6_anteced_2,392
file_confidence_04_conseq_6_anteced_3,84
file_confidence_04_conseq_7_anteced_1,112
file_confidence_04_conseq_7_anteced_2,36
file_confidence_04_conseq_8_anteced_1,9
file_confidence_05_conseq_1_anteced_1,214
file_confidence_05_conseq_1_anteced_2,873
file_confidence_05_conseq_1_anteced_3,1900
file_confidence_05_conseq_1_anteced_4,2320
file_confidence_05_conseq_1_anteced_5,1602
file_confidence_05_conseq_1_anteced_6,609
file_confidence_05_conseq_1_anteced_7,112
file_confidence_05_conseq_1_anteced_8,9
file_confidence_05_conseq_2_anteced_1,873
file_confidence_05_conseq_2_anteced_2,2850
file_confidence_05_conseq_2_anteced_3,4640
file_confidence_05_conseq_2_anteced_4,4005
file_confidence_05_conseq_2_anteced_5,1827
file_confidence_05_conseq_2_anteced_6,392
file_confidence_05_conseq_2_anteced_7,36
file_confidence_05_conseq_3_anteced_1,1900
file_confidence_05_conseq_3_anteced_2,4640
file_confidence_05_conseq_3_anteced_3,5340
file_confidence_05_conseq_3_anteced_4,3045
file_confidence_05_conseq_3_anteced_5,784
file_confidence_05_conseq_3_anteced_6,84
file_confidence_05_conseq_4_anteced_1,2320
file_confidence_05_conseq_4_anteced_2,4005
file_confidence_05_conseq_4_anteced_3,3045
file_confidence_05_conseq_4_anteced_4,980
file_confidence_05_conseq_4_anteced_5,126
file_confidence_05_conseq_5_anteced_1,1602
file_confidence_05_conseq_5_anteced_2,1827
file_confidence_05_conseq_5_anteced_3,784
file_confidence_05_conseq_5_anteced_4,126
file_confidence_05_conseq_6_anteced_1,609
file_confidence_05_conseq_6_anteced_2,392
file_confidence_05_conseq_6_anteced_3,84
file_confidence_05_conseq_7_anteced_1,112
file_confidence_05_conseq_7_anteced_2,36
file_confidence_05_conseq_8_anteced_1,9
file_confidence_06_conseq_1_anteced_1,214
file_confidence_06_conseq_1_anteced_2,873
file_confidence_06_conseq_1_anteced_3,1900
file_confidence_06_conseq_1_anteced_4,2320
file_confidence_06_conseq_1_anteced_5,1602
file_confidence_06_conseq_1_anteced_6,609
file_confidence_06_conseq_1_anteced_7,112
file_confidence_06_conseq_1_anteced_8,9
file_confidence_06_conseq_2_anteced_1,873
file_confidence_06_conseq_2_anteced_2,2850
file_confidence_06_conseq_2_anteced_3,4640
file_confidence_06_conseq_2_anteced_4,4005
file_confidence_06_conseq_2_anteced_5,1827
file_confidence_06_conseq_2_anteced_6,392
file_confidence_06_conseq_2_anteced_7,36
file_confidence_06_conseq_3_anteced_1,1900
file_confidence_06_conseq_3_anteced_2,4640
file_confidence_06_conseq_3_anteced_3,5340
file_confidence_06_conseq_3_anteced_4,3045
file_confidence_06_conseq_3_anteced_5,784
file_confidence_06_conseq_3_anteced_6,84
file_confidence_06_conseq_4_anteced_1,2320
file_confidence_06_conseq_4_anteced_2,4005
file_confidence_06_conseq_4_anteced_3,3045
file_confidence_06_conseq_4_anteced_4,980
file_confidence_06_conseq_4_anteced_5,126
file_confidence_06_conseq_5_anteced_1,1602
file_confidence_06_conseq_5_anteced_2,1827
file_confidence_06_conseq_5_anteced_3,784
file_confidence_06_conseq_5_anteced_4,126
file_confidence_06_conseq_6_anteced_1,609
file_confidence_06_conseq_6_anteced_2,392
file_confidence_06_conseq_6_anteced_3,84
