,count
file_confidence_04_conseq_1_anteced_1,21
file_confidence_04_conseq_1_anteced_2,81
file_confidence_04_conseq_1_anteced_3,148
file_confidence_04_conseq_1_anteced_4,197
file_confidence_04_conseq_1_anteced_5,211
file_confidence_04_conseq_1_anteced_6,133
file_confidence_04_conseq_1_anteced_7,51
file_confidence_04_conseq_1_anteced_8,9
file_confidence_05_conseq_1_anteced_1,21
file_confidence_05_conseq_1_anteced_2,81
file_confidence_05_conseq_1_anteced_3,148
file_confidence_05_conseq_1_anteced_4,197
file_confidence_05_conseq_1_anteced_5,211
file_confidence_05_conseq_1_anteced_6,133
file_confidence_05_conseq_1_anteced_7,51
file_confidence_05_conseq_1_anteced_8,9
file_confidence_06_conseq_1_anteced_1,21
file_confidence_06_conseq_1_anteced_2,81
file_confidence_06_conseq_1_anteced_3,148
file_confidence_06_conseq_1_anteced_4,197
file_confidence_06_conseq_1_anteced_5,211
file_confidence_06_conseq_1_anteced_6,133
file_confidence_06_conseq_1_anteced_7,51
file_confidence_06_conseq_1_anteced_8,9
file_confidence_07_conseq_1_anteced_1,21
file_confidence_07_conseq_1_anteced_2,81
file_confidence_07_conseq_1_anteced_3,148
file_confidence_07_conseq_1_anteced_4,197
file_confidence_07_conseq_1_anteced_5,211
file_confidence_07_conseq_1_anteced_6,133
file_confidence_07_conseq_1_anteced_7,51
file_confidence_07_conseq_1_anteced_8,9
file_confidence_08_conseq_1_anteced_1,21
file_confidence_08_conseq_1_anteced_2,81
file_confidence_08_conseq_1_anteced_3,148
file_confidence_08_conseq_1_anteced_4,197
file_confidence_08_conseq_1_anteced_5,211
file_confidence_08_conseq_1_anteced_6,133
file_confidence_08_conseq_1_anteced_7,51
file_confidence_08_conseq_1_anteced_8,9
file_confidence_09_conseq_1_anteced_1,20
file_confidence_09_conseq_1_anteced_2,74
file_confidence_09_conseq_1_anteced_3,139
file_confidence_09_conseq_1_anteced_4,197
file_confidence_09_conseq_1_anteced_5,211
file_confidence_09_conseq_1_anteced_6,133
file_confidence_09_conseq_1_anteced_7,51
file_confidence_09_conseq_1_anteced_8,9
