,count
file_confidence_04_conseq_1_anteced_2,15
file_confidence_04_conseq_1_anteced_3,19
file_confidence_04_conseq_1_anteced_4,30
file_confidence_04_conseq_1_anteced_5,50
file_confidence_04_conseq_1_anteced_6,82
file_confidence_04_conseq_1_anteced_7,35
file_confidence_04_conseq_1_anteced_8,9
file_confidence_05_conseq_1_anteced_2,15
file_confidence_05_conseq_1_anteced_3,19
file_confidence_05_conseq_1_anteced_4,30
file_confidence_05_conseq_1_anteced_5,50
file_confidence_05_conseq_1_anteced_6,82
file_confidence_05_conseq_1_anteced_7,35
file_confidence_05_conseq_1_anteced_8,9
file_confidence_06_conseq_1_anteced_2,15
file_confidence_06_conseq_1_anteced_3,19
file_confidence_06_conseq_1_anteced_4,30
file_confidence_06_conseq_1_anteced_5,50
file_confidence_06_conseq_1_anteced_6,82
file_confidence_06_conseq_1_anteced_7,35
file_confidence_06_conseq_1_anteced_8,9
file_confidence_07_conseq_1_anteced_2,15
file_confidence_07_conseq_1_anteced_3,19
file_confidence_07_conseq_1_anteced_4,30
file_confidence_07_conseq_1_anteced_5,50
file_confidence_07_conseq_1_anteced_6,82
file_confidence_07_conseq_1_anteced_7,35
file_confidence_07_conseq_1_anteced_8,9
file_confidence_08_conseq_1_anteced_2,15
file_confidence_08_conseq_1_anteced_3,19
file_confidence_08_conseq_1_anteced_4,30
file_confidence_08_conseq_1_anteced_5,50
file_confidence_08_conseq_1_anteced_6,82
file_confidence_08_conseq_1_anteced_7,35
file_confidence_08_conseq_1_anteced_8,9
file_confidence_09_conseq_1_anteced_2,12
file_confidence_09_conseq_1_anteced_3,14
file_confidence_09_conseq_1_anteced_4,30
file_confidence_09_conseq_1_anteced_5,50
file_confidence_09_conseq_1_anteced_6,82
file_confidence_09_conseq_1_anteced_7,35
file_confidence_09_conseq_1_anteced_8,9
